,民國110年02月,,,,,,,Feb-21,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
085441 創意統一0A購06,"409,900","529,000",52,0.77,0.71,0.62,0.95,2月25日,0.62,2月26日,
085442 創意統一0B購01,"2,015,720","2,241,000",143,0.9,0.86,0.75,1.09,2月25日,0.74,2月26日,
085443 南電統一0A購02,"1,037,520","1,173,000",54,0.88,0.86,0.91,1.03,2月25日,0.74,2月23日,
085445 T50反1元富12購03,"573,080","720,000",14,0.8,0.81,0.81,0.81,2月26日,0.78,2月26日,
085446 A50正2元富08購02,"390,000","273,000",39,1.43,1.44,1.05,2.06,2月22日,1.05,2月26日,
085448 A50正2元富0B購01,"87,600","61,000",5,1.44,1.41,1.18,1.66,2月23日,1.18,2月26日,
085449 三陽元富09購01,"10,200","11,000",4,0.93,0.94,0.89,0.99,2月23日,0.88,2月26日,
085450 聯電元富0A購01,"11,300","5,000",1,2.26,2.26,2.26,2.26,2月24日,2.26,2月24日,
085451 聯電元富0C購01,"403,870","269,000",15,1.5,1.48,1.37,1.61,2月22日,1.37,2月26日,
085452 台積電元富0B購08,"163,830","154,000",14,1.06,1.01,0.94,1.21,2月22日,0.92,2月24日,
085453 台積電元富0B購09,"36,800","60,000",4,0.61,0.61,0.61,0.62,2月26日,0.61,2月26日,
085454 台積電元富0B購10,"256,640","460,000",26,0.56,0.58,0.45,0.72,2月23日,0.45,2月26日,
085455 南亞科元富08購03,"175,300","122,000",7,1.44,1.48,1.51,1.51,2月24日,1.4,2月23日,
085458 聯詠元富09購03,"289,000","545,000",13,0.53,0.6,0.46,0.7,2月22日,0.46,2月26日,
085459 聯詠元富09購04,"2,898,340","1,745,000",26,1.66,1.62,1.23,2.03,2月22日,1.2,2月26日,
085460 創意元富0B購01,"836,280","355,000",22,2.36,2.25,1.95,2.66,2月25日,1.95,2月26日,
085461 聯電麥證0B購01,"96,900","100,000",6,0.97,0.96,0.98,1.01,2月24日,0.93,2月24日,
085462 聯電麥證0C購02,"212,000","310,000",36,0.68,0.69,0.65,0.76,2月22日,0.65,2月26日,
085463 鴻海麥證08購02,"214,760","142,000",3,1.51,1.55,1.61,1.61,2月25日,1.49,2月24日,
085464 鴻海麥證0C購02,"464,360","387,000",70,1.2,1.15,1.15,1.28,2月26日,1.07,2月23日,
085465 國巨麥證08購02,"260,180","228,000",10,1.14,1.13,1.1,1.2,2月23日,1.1,2月25日,
085466 國巨麥證0B購01,"31,700","25,000",3,1.27,1.23,1.23,1.28,2月26日,1.23,2月26日,
085469 台積電麥證0C購02,"2,075,990","935,000",56,2.22,2.34,1.98,2.75,2月22日,1.98,2月26日,
085470 台積電麥證0C購03,"11,150","10,000",3,1.12,1.1,1,1.2,2月22日,1,2月25日,
085471 友達麥證0B購01,"252,020","211,000",28,1.19,1.22,1.28,1.47,2月25日,1.07,2月23日,
085473 聯發科麥證0C購02,"114,880","63,000",11,1.82,1.83,1.65,1.92,2月22日,1.57,2月26日,
085474 華新科麥證0A購01,"672,310","615,000",53,1.09,1.01,0.81,1.25,2月23日,0.81,2月26日,
085475 富邦金麥證09購01,"133,560","132,000",25,1.01,1.03,0.96,1.13,2月26日,0.93,2月26日,
085476 國泰金麥證09購01,"3,952,650","3,636,000",41,1.09,1.07,0.99,1.18,2月25日,0.99,2月26日,
085477 大立光麥證0B購01,"4,890","4,000",4,1.22,1.22,1.21,1.24,2月22日,1.21,2月24日,
085478 大立光麥證0C購01,"106,120","92,000",13,1.15,1.08,1.03,1.18,2月23日,1,2月25日,
085479 群創麥證08購01,"4,889,190","2,235,000",38,2.19,2.06,2.08,2.51,2月25日,1.72,2月23日,
085480 日月光麥證08購01,"611,170","622,000",7,0.98,0.89,0.78,1.06,2月25日,0.78,2月26日,
085482 上証2X凱基0B購01,"307,870","506,000",52,0.61,0.63,0.45,1.14,2月22日,0.44,2月26日,
085483 台塑凱基08購01,"3,330,900","1,731,000",123,1.92,1.97,1.78,2.08,2月25日,1.69,2月26日,
085484 上銀凱基08購03,"280,940","239,000",8,1.18,1.25,1.15,1.36,2月25日,1.15,2月26日,
085485 台橡凱基08購01,"1,962,150","917,000",57,2.14,2.13,2.2,2.29,2月26日,1.86,2月23日,
085486 三陽凱基08購01,"15,600","10,000",1,1.56,1.56,1.56,1.56,2月25日,1.56,2月25日,
085487 聯電凱基0B購02,"54,600","60,000",1,0.91,0.91,0.91,0.91,2月22日,0.91,2月22日,
085488 台達電凱基08購04,"71,640","32,000",4,2.24,2.24,2.2,2.29,2月23日,2.2,2月24日,
085489 國巨凱基0B購03,"4,800","5,000",1,0.96,0.96,0.96,0.96,2月23日,0.96,2月23日,
085490 台積電凱基08購31,"12,200","12,000",4,1.02,1.1,1,1.21,2月25日,0.99,2月26日,
085492 台積電凱基0C購07,"127,860","112,000",3,1.14,1.24,1.12,1.36,2月22日,1.12,2月25日,
085493 華邦電凱基08購07,"21,770","16,000",5,1.36,1.34,1.26,1.39,2月22日,1.26,2月26日,
085494 金像電凱基08購03,"243,590","154,000",17,1.58,1.5,1.39,1.74,2月25日,1.39,2月26日,
085495 聯發科凱基11購01,"28,870","38,000",6,0.76,0.76,0.68,0.84,2月24日,0.68,2月26日,
085496 聯發科凱基12購01,"423,580","510,000",18,0.83,0.79,0.7,0.88,2月22日,0.7,2月26日,
085497 大毅凱基08購02,"111,980","64,000",8,1.75,1.72,1.63,1.95,2月23日,1.63,2月26日,
085498 華新科凱基08購05,"960,180","381,000",43,2.52,2.42,2.39,2.71,2月23日,2.17,2月24日,
085499 聯詠凱基08購05,"116,910","65,000",9,1.8,1.78,1.6,1.96,2月23日,1.6,2月25日,
085500 聯詠凱基09購02,"64,750","51,000",8,1.27,1.28,1,1.53,2月22日,0.98,2月26日,
085501 景碩凱基08購02,"525,320","207,000",37,2.54,2.38,2.28,2.78,2月24日,2.24,2月23日,
085502 玉晶光凱基08購08,"445,870","240,000",41,1.86,1.83,1.72,2.15,2月22日,1.69,2月25日,
085503 京鼎凱基08購02,"81,300","50,000",4,1.63,1.59,1.81,1.81,2月25日,1.43,2月23日,
085504 日月光凱基09購04,"169,750","225,000",4,0.75,0.78,0.69,0.91,2月22日,0.69,2月26日,
085505 日月光凱基09購05,"8,520","6,000",1,1.42,1.42,1.42,1.42,2月22日,1.42,2月22日,
085506 乙盛凱基08購02,"557,700","271,000",62,2.06,2,1.89,2.13,2月25日,1.89,2月26日,
085507 松翰凱基08購01,"2,910,050","1,130,000",101,2.58,2.6,2.45,2.92,2月22日,2.38,2月26日,
085508 台表科凱基08購02,"214,820","154,000",13,1.39,1.4,1.39,1.45,2月25日,1.33,2月26日,
085509 南電凱基09購04,"223,110","146,000",6,1.53,1.57,1.61,1.74,2月25日,1.45,2月22日,
085510 臺股指凱基09購17,"3,444,470","2,547,000",11,1.35,1.45,1.27,1.63,2月25日,1.2,2月26日,
085511 臺股指凱基09購18,"81,600","40,000",2,2.04,2.04,2.14,2.14,2月25日,1.94,2月24日,
085512 臺股指凱基09購19,"392,130","330,000",6,1.19,1.36,1.15,1.48,2月25日,1.15,2月26日,
085513 FBVIX國泰0A購01,"242,350","220,000",5,1.1,1.11,1.17,1.17,2月26日,1.04,2月25日,
085514 中興電國泰0A購01,"259,770","181,000",16,1.44,1.45,1.41,1.54,2月24日,1.38,2月22日,
085515 佳世達國泰0A購01,"3,166,740","1,678,000",63,1.89,1.88,2.04,2.07,2月26日,1.7,2月23日,
085516 新光金國泰0A購01,"1,456,710","1,598,000",35,0.91,0.92,0.89,0.96,2月25日,0.88,2月24日,
085517 元石油富邦0A購01,"630,350","469,000",13,1.34,1.33,1.37,1.38,2月26日,1.24,2月24日,
085518 道瓊銀富邦0A購01,"925,510","1,292,000",19,0.72,0.7,0.65,0.76,2月23日,0.64,2月26日,
085519 聯電富邦09購03,"63,100","100,000",5,0.63,0.6,0.58,0.66,2月22日,0.56,2月23日,
085520 華邦電富邦08購01,"395,430","516,000",12,0.77,0.75,0.71,0.8,2月24日,0.7,2月26日,
085521 宏碁富邦08購01,"1,736,150","988,000",76,1.76,1.73,1.62,1.96,2月25日,1.62,2月26日,
085522 友達富邦09購01,"5,355,570","4,413,000",131,1.21,1.11,1.19,1.44,2月25日,0.92,2月23日,
085523 華新科富邦0A購01,"972,780","854,000",74,1.14,1.04,0.77,1.34,2月23日,0.77,2月26日,
085524 群創富邦08購01,"310,250","428,000",23,0.72,0.78,0.88,0.88,2月26日,0.66,2月22日,
085525 日月光富邦09購01,"101,880","204,000",3,0.5,0.5,0.47,0.54,2月23日,0.46,2月25日,
085526 樺漢富邦09購01,"1,301,350","819,000",31,1.59,1.56,1.44,1.7,2月24日,1.44,2月26日,
085527 南電富邦09購01,"49,150","50,000",6,0.98,0.94,0.96,1.06,2月25日,0.92,2月24日,
085528 世紀鋼富邦0A購01,"1,656,860","1,237,000",46,1.34,1.33,1.31,1.5,2月26日,1.26,2月22日,
085529 亞光中信09購01,"646,960","1,447,000",89,0.45,0.43,0.44,0.51,2月24日,0.38,2月26日,
085530 南電中信0A購02,"697,140","1,316,000",70,0.53,0.49,0.49,0.59,2月25日,0.44,2月23日,
085531 上証2X永豐08購01,"8,700","10,000",1,0.87,0.87,0.87,0.87,2月26日,0.87,2月26日,
085533 力山永豐08購01,"14,200","10,000",1,1.42,1.42,1.42,1.42,2月26日,1.42,2月26日,
085534 台橡永豐08購02,"1,591,140","1,079,000",39,1.47,1.52,1.55,1.55,2月26日,1.39,2月25日,
085535 台船永豐08購01,"3,797,370","2,817,000",115,1.35,1.33,1.62,1.64,2月26日,0.78,2月26日,
085536 華邦電永豐08購01,"27,090","16,000",9,1.69,1.69,1.62,1.76,2月25日,1.62,2月26日,
085537 全漢永豐08購01,"379,820","165,000",39,2.3,2.07,1.61,2.9,2月24日,1.61,2月26日,
085538 亞光永豐08購02,"261,400","294,000",9,0.89,0.88,0.83,0.97,2月24日,0.8,2月26日,
085539 創意永豐08購02,"451,330","189,000",22,2.39,2.29,2.02,2.62,2月25日,2.01,2月26日,
085540 台勝科永豐08購01,"112,750","110,000",3,1.02,1.02,0.96,1.09,2月24日,0.96,2月25日,
085541 嘉澤永豐08購01,"104,650","249,000",4,0.42,0.43,0.4,0.45,2月25日,0.4,2月26日,
085542 長華永豐08購01,"199,150","149,000",22,1.34,1.3,1.33,1.55,2月24日,1.14,2月23日,
085543 旺宏日盛08購02,"90,960","37,000",6,2.46,2.48,2.39,2.56,2月25日,2.35,2月26日,
085544 聯詠日盛08購01,"22,770","23,000",2,0.99,0.99,0.99,0.99,2月24日,0.99,2月24日,
085546 臺指反群益0A購02,"21,300","30,000",1,0.71,0.71,0.71,0.71,2月25日,0.71,2月25日,
085547 台達化群益09購01,"1,050,090","572,000",37,1.84,1.81,1.84,1.96,2月24日,1.63,2月26日,
085548 中石化群益08購02,"673,120","528,000",47,1.27,1.21,1.1,1.31,2月23日,1.1,2月26日,
085549 國巨群益08購13,"933,710","263,000",64,3.55,3.44,2.87,4.08,2月23日,2.87,2月26日,
085550 台積電群益08購22,"252,240","244,000",29,1.03,1.04,1,1.12,2月23日,0.88,2月26日,
085551 台積電群益09購08,"613,640","272,000",12,2.26,2.23,1.9,2.53,2月23日,1.88,2月26日,
085553 旺宏群益08購03,"412,280","283,000",23,1.46,1.47,1.38,1.56,2月25日,1.37,2月26日,
085554 友達群益08購04,"1,736,480","427,000",56,4.07,3.89,4.68,4.68,2月25日,3.36,2月23日,
085555 聯發科群益08購16,"126,670","42,000",10,3.02,2.91,2.4,3.17,2月23日,2.4,2月26日,
085557 國泰金群益08購01,"494,530","377,000",39,1.31,1.34,1.39,1.44,2月25日,1.24,2月24日,
085558 大立光群益09購01,"42,890","23,000",6,1.86,1.81,1.5,2.04,2月23日,1.5,2月26日,
085559 聯詠群益09購02,"213,640","234,000",20,0.91,0.95,0.74,1.11,2月24日,0.71,2月26日,
085560 晶技群益09購01,"301,050","235,000",14,1.28,1.29,1.18,1.44,2月23日,1.18,2月26日,
085562 創意群益08購04,"272,990","88,000",10,3.1,2.94,2.81,3.2,2月25日,2.81,2月25日,
085564 日月光群益08購01,"752,540","942,000",34,0.8,0.74,0.66,0.84,2月23日,0.66,2月26日,
085565 日月光群益08購02,"1,229,260","1,206,000",55,1.02,0.99,0.86,1.15,2月23日,0.84,2月26日,
085566 百和群益08購02,"40,020","29,000",9,1.38,1.3,1.24,1.41,2月24日,1.24,2月26日,
085567 A50正2兆豐09購02,"4,800","10,000",2,0.48,0.48,0.48,0.48,2月26日,0.48,2月26日,
085568 台達電兆豐09購01,"7,700","10,000",1,0.77,0.77,0.77,0.77,2月26日,0.77,2月26日,
085569 國巨兆豐08購03,"88,360","68,000",27,1.3,1.26,1.1,1.47,2月24日,1.1,2月26日,
085570 台積電兆豐09購04,"74,730","104,000",9,0.72,0.79,0.71,0.87,2月25日,0.69,2月26日,
085571 宏碁兆豐08購02,"36,860","27,000",7,1.37,1.32,1.28,1.45,2月25日,1.27,2月23日,
085572 華碩兆豐08購01,"523,730","459,000",64,1.14,1.16,1.2,1.23,2月24日,1.08,2月26日,
085573 技嘉兆豐08購01,"365,080","331,000",27,1.1,1.07,0.97,1.28,2月23日,0.97,2月26日,
085574 微星兆豐08購01,"144,500","94,000",18,1.54,1.48,1.18,1.77,2月23日,1.18,2月26日,
085575 友達兆豐08購03,"314,020","130,000",18,2.42,2.38,2.41,2.75,2月25日,2,2月24日,
085576 聯發科兆豐08購04,"35,700","70,000",3,0.51,0.52,0.47,0.57,2月25日,0.47,2月26日,
085577 可成兆豐08購01,"3,640","4,000",2,0.91,0.9,0.9,0.92,2月26日,0.9,2月26日,
085578 富邦金兆豐08購01,"362,240","323,000",55,1.12,1.16,1.12,1.4,2月25日,1.01,2月23日,
085579 富邦金兆豐09購01,"142,000","129,000",28,1.1,1.06,0.94,1.21,2月25日,0.94,2月26日,
085580 大立光兆豐08購02,"67,160","78,000",4,0.86,1.02,0.81,1.14,2月23日,0.81,2月26日,
085581 奇鋐兆豐08購01,"2,230","2,000",2,1.12,1.08,1.08,1.15,2月26日,1.08,2月26日,
085582 亞光兆豐08購01,"686,200","406,000",17,1.69,1.7,1.63,1.91,2月24日,1.57,2月26日,
085583 晶技兆豐08購01,"6,070","7,000",4,0.87,0.86,0.86,0.87,2月26日,0.86,2月26日,
085584 京鼎兆豐08購01,"1,698,860","1,239,000",26,1.37,1.35,1.39,1.52,2月24日,1.22,2月23日,
085585 致伸兆豐09購01,"88,880","85,000",5,1.05,1.01,0.92,1.09,2月24日,0.9,2月26日,
085586 松翰兆豐08購01,"629,520","428,000",38,1.47,1.4,1.31,1.61,2月25日,1.3,2月26日,
085587 彩晶兆豐08購01,"1,570,380","1,429,000",25,1.1,1.11,0.97,1.24,2月25日,0.97,2月26日,
085588 嘉聯益兆豐08購01,"181,700","180,000",3,1.01,1.04,1.04,1.04,2月26日,1,2月26日,
085589 GIS兆豐08購01,"2,670,890","2,297,000",28,1.16,1.2,1.25,1.25,2月26日,1.14,2月24日,
085590 南電兆豐08購01,"950,540","629,000",40,1.51,1.37,1.36,1.72,2月25日,1.3,2月24日,
085591 致新兆豐08購01,"132,900","80,000",4,1.66,1.64,1.62,1.7,2月25日,1.62,2月25日,
085592 台灣50元大08購11,"55,070","37,000",11,1.49,1.45,1.3,1.58,2月24日,1.3,2月26日,
085593 台灣50元大08購12,"674,250","514,000",35,1.31,1.28,1.02,1.47,2月23日,1.02,2月26日,
085594 T50反1元大0B購07,"68,500","100,000",2,0.68,0.69,0.69,0.69,2月26日,0.68,2月26日,
085595 T50反1元大0C購01,"519,850","834,000",11,0.62,0.64,0.67,0.67,2月26日,0.61,2月25日,
085598 上証2X元大08購08,"8,100","10,000",1,0.81,0.81,0.81,0.81,2月26日,0.81,2月26日,
085602 力山元大08購01,"49,720","42,000",5,1.18,1.15,1.11,1.27,2月25日,1.11,2月26日,
085603 力山元大08購02,"484,520","401,000",24,1.21,1.19,1.13,1.25,2月25日,1.09,2月26日,
085605 台橡元大08購01,"2,371,030","1,568,000",103,1.51,1.5,1.61,1.64,2月26日,1.34,2月24日,
085606 台積電元大08購31,"85,690","63,000",10,1.36,1.46,1.25,1.64,2月23日,1.24,2月26日,
085607 旺宏元大0C購02,"287,580","128,000",22,2.25,2.22,2.25,2.39,2月24日,2.12,2月23日,
085608 華邦電元大08購04,"274,800","117,000",48,2.35,2.3,2.16,2.6,2月24日,2.13,2月26日,
085609 華邦電元大0C購01,"195,500","134,000",39,1.46,1.4,1.34,1.52,2月24日,1.32,2月26日,
085610 大立光元大08購06,"142,160","44,000",9,3.23,3.11,2.6,3.46,2月23日,2.6,2月26日,
085611 大立光元大0C購02,"66,780","28,000",9,2.38,2.22,1.87,2.52,2月25日,1.87,2月26日,
085612 大立光元大0C購03,"626,720","463,000",34,1.35,1.34,1.16,1.51,2月25日,1.16,2月26日,
085613 亞光元大08購02,"1,172,190","529,000",61,2.22,2.17,2.19,2.47,2月24日,2,2月25日,
085614 亞光元大09購01,"1,111,290","469,000",45,2.37,2.32,2.32,2.63,2月24日,2.05,2月26日,
085615 玉晶光元大0C購01,"409,990","291,000",45,1.41,1.41,1.35,1.57,2月24日,1.35,2月26日,
085616 松翰元大08購05,"2,322,710","962,000",78,2.41,2.3,2.28,2.59,2月24日,2.2,2月23日,
085617 松翰元大09購01,"1,931,760","643,000",67,3,2.87,2.78,3.14,2月25日,2.73,2月26日,
085618 長華元大08購01,"1,741,460","1,009,000",58,1.73,1.66,1.71,2.03,2月24日,0.89,2月26日,
085622 元石油凱基0A購01,"698,250","505,000",11,1.38,1.37,1.45,1.46,2月25日,1.27,2月24日,
085623 臺指反凱基0A購02,"6,400","10,000",1,0.64,0.64,0.64,0.64,2月24日,0.64,2月24日,
085625 SGBR2X凱基08購02,"1,501,510","1,380,000",71,1.09,1.09,1.09,1.17,2月25日,1.01,2月24日,
085626 鴻海凱基08購20,"116,930","102,000",32,1.15,1.11,1.06,1.24,2月25日,1.03,2月24日,
085627 鴻海凱基08購21,"533,520","554,000",48,0.96,0.91,0.89,1.03,2月25日,0.81,2月24日,
085628 台積電凱基08購32,"21,190","20,000",5,1.06,1.01,0.87,1.15,2月23日,0.87,2月26日,
085629 台積電凱基0C購08,"38,800","45,000",6,0.86,0.86,0.86,0.87,2月26日,0.86,2月26日,
085630 旺宏凱基08購06,"239,540","130,000",16,1.84,1.88,1.85,1.99,2月25日,1.78,2月25日,
085631 順德凱基08購02,"180,110","120,000",8,1.5,1.52,1.49,1.63,2月24日,1.45,2月26日,
085632 富邦金凱基08購01,"1,044,040","619,000",56,1.69,1.68,1.62,2.03,2月25日,1.39,2月23日,
085633 晶豪科凱基08購03,"332,280","117,000",29,2.84,2.85,2.86,3.32,2月25日,2.39,2月23日,
085634 大立光凱基08購09,"410,620","178,000",26,2.31,2.15,1.8,2.46,2月23日,1.8,2月26日,
085635 聯陽凱基08購01,"157,680","55,000",9,2.87,2.91,2.85,3.03,2月23日,2.84,2月26日,
085636 亞光凱基09購01,"648,360","409,000",17,1.59,1.56,1.5,1.64,2月24日,1.5,2月26日,
085637 聯詠凱基0C購01,"2,990","4,000",3,0.75,0.77,0.72,0.83,2月25日,0.72,2月26日,
085638 欣興凱基08購11,"2,075,540","805,000",79,2.58,2.44,2.37,2.83,2月24日,2.25,2月25日,
085639 玉晶光凱基08購09,"447,680","165,000",34,2.71,2.64,2.54,3.03,2月24日,2.51,2月25日,
085640 乙盛凱基08購03,"75,240","42,000",11,1.79,1.78,1.67,1.93,2月25日,1.67,2月26日,
085641 彩晶凱基08購04,"456,660","250,000",38,1.83,1.75,1.64,1.99,2月25日,1.64,2月26日,
085642 聚鼎凱基08購01,"747,210","562,000",29,1.33,1.37,1.31,1.69,2月23日,1.23,2月26日,
085643 長華凱基08購01,"1,197,270","571,000",66,2.1,2.04,2.08,2.54,2月24日,1.79,2月23日,
085644 聯電台新08購03,"2,980","4,000",2,0.74,0.71,0.71,0.78,2月24日,0.71,2月24日,
085645 晶技台新08購01,"21,340","27,000",7,0.79,0.82,0.73,0.93,2月23日,0.73,2月26日,
085646 聯電統一0A購05,"94,500","150,000",2,0.63,0.63,0.63,0.63,2月26日,0.63,2月26日,
085647 台達電統一0A購02,"34,000","70,000",4,0.49,0.48,0.45,0.54,2月25日,0.45,2月26日,
085648 國巨統一0B購01,"361,490","596,000",49,0.61,0.6,0.51,0.7,2月23日,0.51,2月26日,
085649 旺宏統一0B購01,"231,230","333,000",19,0.69,0.7,0.69,0.75,2月25日,0.66,2月24日,
085650 光罩統一0A購01,"933,210","1,145,000",71,0.82,0.75,0.67,1,2月23日,0.64,2月26日,
085651 華邦電統一0A購01,"109,490","132,000",10,0.83,0.77,0.78,0.85,2月24日,0.75,2月24日,
085652 華邦電統一0A購02,"552,650","756,000",12,0.73,0.7,0.66,0.76,2月24日,0.64,2月26日,
085653 華邦電統一0A購03,"595,530","956,000",17,0.62,0.61,0.57,0.69,2月24日,0.56,2月26日,
085654 宏碁統一0A購07,"1,077,310","965,000",39,1.12,1.12,1.06,1.22,2月25日,1.05,2月26日,
085655 金像電統一0A購02,"19,760","26,000",5,0.76,0.74,0.74,0.8,2月25日,0.73,2月24日,
085656 技嘉統一0A購01,"869,860","1,138,000",59,0.76,0.77,0.69,0.93,2月23日,0.69,2月26日,
085657 瑞昱統一0A購03,"47,560","92,000",8,0.52,0.48,0.43,0.55,2月24日,0.43,2月26日,
085658 友達統一0A購04,"822,740","711,000",32,1.16,1.02,1.05,1.22,2月25日,0.87,2月23日,
085659 奇力新統一0A購01,"959,250","1,152,000",41,0.83,0.79,0.85,0.88,2月26日,0.75,2月24日,
085660 華新科統一08購05,"129,960","152,000",2,0.86,0.86,0.72,0.99,2月23日,0.72,2月24日,
085661 華新科統一0A購01,"754,860","932,000",67,0.81,0.76,0.58,0.98,2月23日,0.56,2月26日,
085662 華新科統一0A購02,"57,650","54,000",5,1.07,1.06,0.99,1.12,2月23日,0.99,2月24日,
085663 華新科統一0A購03,"66,830","82,000",13,0.82,0.87,0.66,1.06,2月23日,0.66,2月26日,
085664 大立光統一0A購04,"11,980","13,000",4,0.92,0.92,0.86,1.02,2月25日,0.85,2月26日,
085665 信邦統一0A購03,"4,600","7,000",4,0.66,0.64,0.65,0.68,2月24日,0.64,2月24日,
085666 聯詠統一09購06,"221,270","428,000",25,0.52,0.52,0.41,0.66,2月24日,0.4,2月26日,
085667 聯詠統一0A購02,"180,430","311,000",18,0.58,0.53,0.44,0.62,2月24日,0.44,2月26日,
085669 景碩統一0A購01,"218,350","251,000",23,0.87,0.81,0.77,0.93,2月24日,0.77,2月26日,
085670 日月光統一0A購04,"54,630","100,000",6,0.55,0.52,0.48,0.57,2月25日,0.48,2月26日,
085671 矽創統一0A購01,"995,580","979,000",37,1.02,0.89,1.01,1.08,2月26日,0.73,2月24日,
085672 南電統一0A購03,"349,590","418,000",18,0.84,0.8,0.79,0.9,2月25日,0.78,2月26日,
085674 南電統一0A購05,"838,560","997,000",41,0.84,0.78,0.83,0.98,2月25日,0.7,2月23日,
085675 南電統一0A購06,"245,380","354,000",15,0.69,0.66,0.68,0.76,2月25日,0.63,2月24日,
085676 南電統一0A購07,"231,030","230,000",17,1,0.97,0.97,1.13,2月25日,0.84,2月23日,
085677 長華統一0A購01,"2,163,670","2,534,000",125,0.85,0.83,0.83,1,2月24日,0.73,2月23日,
085678 旺宏元富09購07,"13,200","15,000",1,0.88,0.88,0.88,0.88,2月26日,0.88,2月26日,
085679 華新科元富08購03,"3,180","2,000",1,1.59,1.59,1.59,1.59,2月24日,1.59,2月24日,
085680 華新科元富08購04,"87,680","32,000",5,2.74,2.84,2.47,3.22,2月23日,2.47,2月24日,
085681 華新科元富0A購01,"61,400","32,000",5,1.92,2.06,1.69,2.6,2月25日,1.69,2月26日,
085682 亞光元富08購01,"3,432,220","2,209,000",37,1.55,1.4,1.44,1.63,2月24日,1.34,2月25日,
085684 松翰元富08購01,"328,400","180,000",6,1.82,1.82,1.67,1.92,2月25日,1.67,2月26日,
085685 同欣電元富09購01,"3,530","4,000",3,0.88,0.86,0.82,0.99,2月24日,0.82,2月26日,
085686 南電元富08購03,"184,740","106,000",10,1.74,1.68,1.81,1.81,2月25日,1.56,2月24日,
085687 鴻海國泰0A購02,"3,296,640","1,415,000",154,2.33,2.23,2.18,2.56,2月25日,2.04,2月23日,
085688 鴻海國泰0A購03,"4,262,620","2,385,000",169,1.79,1.7,1.65,1.98,2月25日,1.5,2月23日,
085689 華邦電國泰0A購01,"375,540","181,000",14,2.07,2.08,1.98,2.17,2月24日,1.93,2月23日,
085690 華邦電國泰0A購02,"1,104,780","261,000",60,4.23,4.06,3.89,4.58,2月24日,3.89,2月26日,
085691 宏碁國泰0A購02,"897,880","369,000",22,2.43,2.38,2.3,2.56,2月25日,2.3,2月26日,
085692 宏碁國泰0A購03,"1,120,390","528,000",25,2.12,2.13,2.01,2.38,2月25日,1.95,2月26日,
085693 聯發科國泰0A購05,"513,750","310,000",4,1.66,1.55,1.35,1.71,2月23日,1.35,2月26日,
085695 聯發科國泰0A購07,"46,020","18,000",4,2.56,2.56,2.55,2.57,2月23日,2.55,2月24日,
085696 晶技國泰0A購01,"916,700","525,000",11,1.75,1.72,1.58,1.88,2月23日,1.58,2月26日,
085697 創意國泰0A購01,"138,850","68,000",9,2.04,2.07,2.36,2.36,2月25日,1.87,2月23日,
085698 台郡國泰0A購01,"147,300","90,000",4,1.64,1.63,1.53,1.74,2月25日,1.53,2月26日,
085699 同欣電國泰0A購01,"1,500,410","942,000",24,1.59,1.58,1.42,1.8,2月24日,1.39,2月26日,
085701 元黃金富邦0A購01,"15,060","10,000",3,1.51,1.52,1.38,1.59,2月24日,1.38,2月26日,
085703 台達化富邦0A購02,"3,107,090","2,064,000",101,1.51,1.52,1.51,1.65,2月24日,1.37,2月26日,
085704 瑞昱富邦0A購01,"36,150","46,000",5,0.79,0.79,0.72,0.84,2月25日,0.72,2月26日,
085705 億光富邦08購01,"214,650","300,000",6,0.72,0.72,0.69,0.74,2月23日,0.69,2月25日,
085706 聯發科富邦0A購01,"148,610","249,000",17,0.6,0.65,0.55,0.7,2月23日,0.55,2月26日,
085707 大立光富邦09購03,"20,940","21,000",3,1,1.13,0.9,1.24,2月25日,0.9,2月26日,
085708 聯詠富邦0A購01,"2,910,140","4,309,000",78,0.68,0.69,0.58,0.83,2月24日,0.55,2月26日,
085709 晶技富邦0A購01,"49,850","65,000",4,0.77,0.74,0.73,0.8,2月24日,0.73,2月24日,
085710 致伸富邦0A購01,"212,380","292,000",6,0.73,0.72,0.7,0.74,2月25日,0.7,2月25日,
085711 瑞儀富邦09購01,"291,070","180,000",15,1.62,1.55,1.58,1.63,2月26日,1.52,2月24日,
085713 潤泰新富邦0A購01,"673,720","471,000",17,1.43,1.42,1.41,1.48,2月24日,1.4,2月25日,
085714 聯發科第一12購01,"149,900","305,000",25,0.49,0.65,0.47,0.83,2月24日,0.47,2月26日,
085715 上証反中信0A購01,"3,660","4,000",3,0.92,0.92,0.89,0.94,2月24日,0.89,2月25日,
085717 元石油中信0A購01,"2,015,490","1,562,000",16,1.29,1.3,1.27,1.32,2月25日,1.26,2月26日,
