公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
4581,光隆精密-KY,231.89,28.5,12.69,12.98,10.82
4720,德淵,831.77,18.76,1.65,1.56,0.96
4722,國精化,1133.78,20.08,8.82,10.4,8.08
4737,華廣,463.8,43.92,2.14,1.99,2.69
4739,康普,1693.13,12.66,6.74,7.41,5.63
4746,台耀,736.28,30.1,-9.37,141.25,140.61
4755,三福化,969.79,21.94,11.49,13.18,10.39
4763,材料-KY,631.3,31.7,14.62,13.4,12.9
4764,雙鍵,724.58,19.18,6.71,5.54,3.38
4766,南寶,4292.82,26.38,8.79,9.48,7.35
4807,日成-KY,396.13,21.73,2.52,6.58,3.84
4904,遠傳,20835.78,29.63,11.45,10.64,8.83
4906,正文,5240.28,9.96,2.43,2.88,2.46
4912,聯德控股-KY,1689.78,22.7,13.03,13.23,9.51
4915,致伸,17159.39,12.52,3.45,3.7,2.92
4916,事欣科,433.61,11.34,-10.18,7.7,7.55
4919,新唐,10072.48,38.91,3.78,3.87,2.69
4927,泰鼎-KY,3260.4,18.9,6.23,5.62,4.76
4930,燦星網,2534.37,15.04,5.71,7.63,5.7
4934,太極,413.8,-10.28,-23.51,-24.74,-27.39
4935,茂林-KY,2670.53,20.04,11.8,12.6,12.19
4938,和碩,216621.63,4.26,1.02,1.78,2.41
4942,嘉彰,2005.85,21.71,11.82,13.94,10.7
4943,康控-KY,675.12,4.23,-36.36,-35.98,-28.64
4952,凌通,724.95,39.44,15.82,16.09,13.35
4956,光鋐,438,19.86,8.84,8.9,8.75
4958,臻鼎-KY,27193.1,17.47,4.89,7.03,5.11
4960,誠美材,2746.36,5.18,0.29,9.56,9.07
4961,天鈺,4004.23,39.26,26,25.74,21.98
4967,十銓,1913.35,18.63,9.93,10.69,8.69
4968,立積,1741.48,33.13,17.28,17.56,14.73
4976,佳凌,476.68,13.02,6.14,6.2,5.86
4977,眾達-KY,745.03,21.29,9.24,6.67,5.6
4989,榮科,964.02,15.65,12.38,12.71,10.17
4994,傳奇,742.94,57.02,7.68,0.91,-0.22
4999,鑫禾,737.1,23.1,10.24,10.25,7.16
5007,三星,1631.6,26.61,19.27,18.48,14.72
5203,訊連,376.39,89.41,6.44,9.43,7.92
5215,科嘉-KY,1007.56,34.85,24.49,25.29,18.39
