,民國110年03月,,,,,,,March 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1713   國化,"57,898,136","2,881,695","1,839",20.09,19.97,20.50,21.20,03/23,19.20,03/05,1.91
1714   和桐,"1,151,250,705","119,630,303","33,940",9.62,9.56,9.88,10.15,03/31,9.24,03/04,11.77
1717   長興,"2,908,723,234","81,732,952","38,072",35.59,35.54,35.95,36.65,03/02,34.85,03/19,6.59
1718   中纖,"3,300,239,179","333,905,336","83,576",9.88,9.80,9.88,10.30,03/26,9.53,03/24,20.59
1721   三晃,"122,151,483","11,643,352","7,278",10.49,10.46,10.70,11.00,03/30,10.20,03/12,6.16
1722   台肥,"3,585,529,708","66,062,431","29,389",54.27,54.15,56.50,56.50,03/31,52.40,03/05,6.74
1723   中碳,"1,121,776,071","10,389,212","8,928",107.98,107.64,107.50,112.00,03/15,103.00,03/03,4.39
1724   台硝,"18,265,980","1,416,391","1,761",12.90,12.72,13.40,13.40,03/30,12.50,03/05,1.11
1725   元禎,"105,705,993","5,254,267","3,130",20.12,17.27,22.65,23.10,03/31,15.75,03/03,2.89
1726   永記,"41,524,634","577,581",615,71.89,71.95,72.30,72.70,03/09,70.90,03/04,0.36
1727   中華化,"28,093,967","2,512,896","2,622",11.18,11.04,11.75,11.80,03/31,10.75,03/26,2.32
1730   花仙子,"155,675,822","2,185,203","2,222",71.24,71.24,71.60,72.40,03/11,69.90,03/02,3.46
1732   毛寶,"355,397,781","13,828,914","8,355",25.70,25.51,25.15,28.00,03/02,24.65,03/10,32.58
1735   日勝化,"3,349,142","203,504",169,16.46,16.51,16.70,16.75,03/31,16.00,03/09,0.20
1773   勝一,"1,202,345,671","10,764,406","9,223",111.70,110.05,115.50,120.00,03/30,106.00,03/05,5.98
