,民國110年03月,,,,,,,March 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
085701 元黃金富邦0A購01,"885,110","797,000",49,1.11,1.12,0.93,1.20,03/22,0.93,03/31,
085703 台達化富邦0A購02,"19,474,470","9,285,000",735,2.10,2.35,2.63,2.94,03/15,1.39,03/02,
085704 瑞昱富邦0A購01,"1,935,150","2,766,000",100,0.70,0.68,0.81,0.86,03/30,0.55,03/15,
085705 億光富邦08購01,"4,910,330","7,263,000",207,0.68,0.67,0.70,0.74,03/31,0.61,03/05,
085706 聯發科富邦0A購01,"2,534,030","4,868,000",126,0.52,0.53,0.65,0.69,03/31,0.44,03/23,
085707 大立光富邦09購03,"1,175,250","1,271,000",51,0.92,0.90,0.62,1.14,03/10,0.62,03/31,
085708 聯詠富邦0A購01,"49,686,140","66,982,000","1,948",0.74,0.73,1.05,1.17,03/31,0.49,03/05,
085709 晶技富邦0A購01,"737,080","1,162,000",84,0.63,0.61,0.66,0.77,03/31,0.52,03/24,
085710 致伸富邦0A購01,"2,339,430","3,580,000",186,0.65,0.62,0.60,0.71,03/22,0.51,03/26,
085711 瑞儀富邦09購01,"4,075,340","2,348,000",112,1.74,1.70,1.80,1.90,03/22,1.48,03/03,
085712 同欣電富邦08購01,"6,100","20,000",2,0.30,0.30,0.30,0.31,03/26,0.30,03/29,
085713 潤泰新富邦0A購01,"13,183,510","7,277,000",385,1.81,1.79,2.58,2.62,03/29,1.42,03/04,
085714 聯發科第一12購01,"11,002,430","38,203,000",942,0.29,0.29,0.33,0.40,03/02,0.23,03/09,
085715 上証反中信0A購01,"120,590","108,000",10,1.12,1.12,1.18,1.18,03/22,1.06,03/18,
085716 滬深反中信0A購01,"56,970","42,000",5,1.36,1.46,1.59,1.59,03/26,1.30,03/04,
085717 元石油中信0A購01,"122,680","110,000",11,1.12,1.12,0.94,1.40,03/09,0.87,03/24,
085718 美指2X中信0B購01,"1,713,590","1,862,000",71,0.92,0.91,1.01,1.01,03/31,0.83,03/18,
085719 統一中信09購01,"1,122,830","1,396,000",67,0.80,0.79,0.87,0.88,03/31,0.68,03/24,
085720 台塑中信0B購01,"6,078,550","6,122,000",317,0.99,0.92,0.82,1.21,03/11,0.76,03/19,
085721 廣宇中信0A購01,"2,088,320","1,482,000",186,1.41,1.35,1.27,1.69,03/23,1.10,03/15,
085722 精英中信08購01,"2,259,090","2,800,000",140,0.81,0.80,0.61,1.09,03/15,0.59,03/24,
085723 華碩中信0A購01,"2,515,710","3,680,000",191,0.68,0.87,1.24,1.51,03/19,0.50,03/03,
085724 友達中信0A購01,"679,690","554,000",37,1.23,1.19,1.45,1.52,03/30,0.95,03/11,
085725 亞光中信0A購01,"1,163,150","3,626,000",67,0.32,0.31,0.29,0.39,03/02,0.27,03/29,
085726 聯詠中信08購01,"5,524,790","9,664,000",344,0.57,0.49,0.72,0.85,03/31,0.29,03/05,
085727 健策中信08購01,"58,800","220,000",4,0.27,0.23,0.19,0.32,03/08,0.19,03/10,
085728 祥碩中信08購01,"349,520","625,000",36,0.56,0.54,0.39,0.77,03/02,0.39,03/31,
085729 亞德客兆豐08購01,"696,670","1,008,000",52,0.69,0.70,0.71,0.83,03/29,0.59,03/12,
085730 中纖兆豐08購01,"5,479,940","3,937,000",195,1.39,1.34,1.25,1.54,03/09,1.17,03/24,
085731 鴻海兆豐0B購01,"10,171,310","10,189,000",505,1.00,0.88,0.89,1.26,03/23,0.60,03/09,
085732 鴻海兆豐0B購02,"5,949,600","6,775,000",245,0.88,1.01,1.06,1.80,03/25,0.72,03/09,
085733 精英兆豐08購01,"9,360,050","6,317,000",345,1.48,1.44,1.13,2.16,03/15,0.61,03/23,
085734 旺宏兆豐08購01,"796,200","1,844,000",45,0.43,0.44,0.38,0.76,03/02,0.35,03/25,
085735 南亞科兆豐08購02,"438,120","535,000",77,0.82,0.80,0.76,1.06,03/02,0.61,03/09,
085736 中壽兆豐08購01,"5,710,620","3,960,000",177,1.44,1.28,1.56,1.61,03/31,0.91,03/03,
085737 新光金兆豐08購01,"2,689,860","3,300,000",73,0.82,0.79,0.97,0.97,03/31,0.61,03/08,
085738 晶豪科兆豐09購01,"795,670","384,000",57,2.07,2.04,2.59,2.59,03/23,1.70,03/10,
085739 創意兆豐09購01,"590,500","892,000",61,0.66,0.72,0.60,1.04,03/02,0.50,03/24,
085740 創意兆豐09購02,"1,357,480","1,674,000",98,0.81,0.84,0.62,1.42,03/02,0.51,03/25,
085741 祥碩兆豐09購01,"118,300","180,000",28,0.66,0.62,0.55,0.82,03/02,0.47,03/11,
085742 矽格兆豐08購01,"1,008,830","808,000",39,1.25,1.23,1.17,1.37,03/16,1.14,03/03,
085743 華泰永豐08購01,"380,040","722,000",42,0.53,0.35,0.36,0.62,03/02,0.29,03/26,
085744 精英永豐08購01,"4,152,300","5,042,000",278,0.82,0.76,0.59,1.10,03/15,0.46,03/23,
085745 光罩永豐08購02,"15,948,940","13,978,000",546,1.14,0.75,1.56,1.75,03/30,0.28,03/09,
085746 王品永豐08購01,"11,210,600","7,027,000",350,1.60,1.68,1.87,2.25,03/16,1.22,03/03,
085747 大立光永豐08購03,"2,911,980","2,622,000",104,1.11,1.18,0.81,1.49,03/10,0.81,03/31,
085748 聯陽永豐08購02,"2,211,020","3,335,000",165,0.66,0.64,0.76,0.89,03/16,0.49,03/09,
085749 全漢永豐08購02,"2,690,370","6,634,000",171,0.41,0.39,0.41,0.47,03/19,0.31,03/09,
085750 亞光永豐08購03,"1,038,840","1,002,000",177,1.04,0.98,0.83,1.17,03/02,0.78,03/25,
085751 玉晶光永豐08購04,"406,650","454,000",28,0.90,0.81,0.62,1.03,03/02,0.54,03/26,
085752 健策永豐08購01,"145,310","443,000",22,0.33,0.24,0.12,0.42,03/02,0.12,03/26,
085753 松翰永豐08購02,"2,970,490","3,916,000",249,0.76,0.70,0.90,1.04,03/30,0.52,03/03,
085754 台郡永豐08購01,"407,520","1,000,000",35,0.41,0.40,0.37,0.45,03/03,0.36,03/19,
085755 安集永豐08購02,"6,884,940","5,994,000",439,1.15,1.07,1.05,1.53,03/22,0.91,03/09,
085756 志超永豐08購01,"2,411,860","3,476,000",121,0.69,0.68,0.65,0.80,03/22,0.58,03/09,
085757 華邦電麥證08購01,"125,600","213,000",9,0.59,0.59,0.58,0.61,03/29,0.57,03/30,
085758 同欣電麥證08購01,"141,590","242,000",12,0.59,0.56,0.52,0.66,03/04,0.48,03/26,
085759 臺股指麥證09購03,"1,921,370","1,180,000",36,1.63,1.55,1.64,1.84,03/02,1.24,03/24,
085760 廣宇日盛08購01,"12,948,220","5,401,000",471,2.40,2.18,2.10,3.14,03/23,1.76,03/09,
085761 凌陽日盛08購01,"5,576,870","3,661,000",293,1.52,1.36,1.73,2.13,03/24,0.93,03/05,
085762 台灣50凱基08購05,"421,560","598,000",4,0.70,0.68,0.78,0.78,03/30,0.60,03/25,
085763 台灣50凱基08購06,"117,410","144,000",9,0.82,0.73,0.78,0.87,03/02,0.60,03/05,
085764 上証2X凱基0A購04,"389,440","976,000",59,0.40,0.44,0.36,0.73,03/02,0.32,03/24,
085765 力山凱基08購02,"5,505,710","2,884,000",179,1.91,1.95,2.24,2.34,03/19,1.43,03/05,
085766 聯電凱基08購13,"1,490,780","1,343,000",105,1.11,1.16,1.25,2.05,03/02,0.85,03/19,
085767 鴻海凱基08購22,"2,612,430","2,813,000",212,0.93,0.96,1.13,1.29,03/18,0.78,03/02,
085768 台積電凱基08購33,"112,710","187,000",59,0.60,0.59,0.46,0.84,03/02,0.39,03/25,
085769 旺宏凱基08購07,"561,600","472,000",60,1.19,1.16,1.17,1.82,03/02,0.83,03/09,
085770 南亞科凱基08購04,"1,530,340","1,425,000",88,1.07,1.07,1.02,1.23,03/18,0.90,03/25,
085771 聯發科凱基08購22,"8,461,930","11,475,000",280,0.74,0.76,1.00,1.02,03/30,0.59,03/23,
085772 大立光凱基08購10,"409,150","300,000",23,1.36,1.40,1.13,1.55,03/10,1.12,03/19,
085773 亞光凱基08購03,"3,405,590","3,820,000",244,0.89,0.87,0.76,1.04,03/05,0.73,03/25,
085774 晶技凱基08購02,"1,349,110","1,815,000",100,0.74,0.72,0.74,0.87,03/31,0.60,03/09,
085775 上緯控凱基08購03,"877,360","952,000",32,0.92,0.96,0.70,1.15,03/03,0.66,03/30,
085776 祥碩凱基08購05,"644,490","1,107,000",45,0.58,0.75,0.52,1.24,03/02,0.52,03/31,
085777 台郡凱基08購02,"84,800","160,000",2,0.53,0.53,0.53,0.53,03/31,0.53,03/31,
085778 京鼎日盛08購01,"308,790","317,000",15,0.97,0.89,0.84,1.03,03/25,0.76,03/17,
085779 聯電元大08購09,"2,649,790","1,305,000",48,2.03,1.55,1.55,2.74,03/02,1.15,03/19,
08577P 臺指2X中信03售01,200,"20,000",1,0.01,0.01,0.01,0.01,03/10,0.01,03/10,
085780 聯電元大0C購03,"427,680","532,000",17,0.80,0.81,0.80,0.84,03/04,0.73,03/30,
085781 聯電元大0C購04,"3,010,960","4,143,000",157,0.73,0.72,0.77,1.05,03/02,0.60,03/09,
085782 國巨元大0C購01,"110,710","93,000",17,1.19,1.21,0.98,1.59,03/02,0.98,03/25,
085783 國巨元大0C購02,"652,930","602,000",69,1.08,1.09,0.99,1.34,03/03,0.94,03/10,
085784 精英元大09購01,"3,938,880","2,110,000",168,1.87,1.85,1.54,2.43,03/15,1.46,03/25,
085785 華邦電元大08購05,"826,440","417,000",149,1.98,1.93,2.00,3.07,03/02,1.57,03/09,
085786 華邦電元大0C購02,"2,452,930","2,337,000",144,1.05,1.05,1.11,1.38,03/02,0.91,03/09,
085787 台光電元大09購01,"8,646,910","5,331,000",85,1.62,1.52,1.43,1.93,03/02,1.35,03/25,
085788 南亞科元大0A購01,"6,482,480","4,185,000",187,1.55,1.54,1.50,1.85,03/02,1.26,03/09,
085789 友達元大0A購01,"12,567,620","3,736,000",187,3.36,3.64,4.68,4.92,03/29,3.07,03/09,
085790 華新科元大0C購01,"1,863,270","1,513,000",74,1.23,1.33,1.19,1.63,03/16,1.06,03/25,
085791 大立光元大08購08,"846,430","289,000",43,2.93,2.84,2.13,3.38,03/10,2.12,03/25,
085793 大立光元大0C購04,"3,070,240","2,016,000",66,1.52,1.52,1.22,1.90,03/10,1.22,03/31,
085794 晶技元大08購04,"1,042,370","1,039,000",57,1.00,0.96,1.07,1.26,03/31,0.78,03/09,
085795 晶技元大09購01,"725,390","670,000",43,1.08,1.02,1.05,1.16,03/12,0.87,03/25,
085796 創意元大08購06,"366,970","227,000",36,1.62,1.73,1.37,2.38,03/02,1.23,03/25,
085797 群創元大0B購02,"13,554,880","3,757,000",251,3.61,3.02,4.53,5.00,03/30,2.26,03/09,
085798 群創元大0C購02,"11,762,890","5,777,000",304,2.04,2.05,2.96,3.30,03/29,1.61,03/15,
085799 嘉澤元大08購02,"521,960","477,000",41,1.09,1.04,0.96,1.32,03/04,0.85,03/19,
085800 嘉澤元大09購01,"3,476,750","2,793,000",104,1.24,1.19,1.08,1.49,03/04,1.06,03/19,
085801 健策元大08購05,"1,069,210","1,545,000",31,0.69,0.80,0.61,1.22,03/03,0.41,03/25,
085802 健策元大09購01,"1,804,270","2,686,000",81,0.67,0.85,0.65,1.31,03/02,0.45,03/26,
085803 日月光元大08購03,"1,788,840","1,729,000",67,1.03,1.02,1.07,1.19,03/03,0.83,03/09,
085804 日月光元大08購04,"10,464,140","9,021,000",260,1.16,1.19,1.28,1.39,03/02,1.00,03/09,
085805 日月光元大0A購02,"2,012,330","1,859,000",109,1.08,1.05,1.08,1.17,03/03,0.89,03/09,
085806 南電元大08購09,"4,412,670","1,621,000",147,2.72,2.45,3.49,3.55,03/30,1.70,03/09,
085807 南電元大0C購01,"2,249,930","1,138,000",63,1.98,1.77,2.29,2.37,03/30,1.39,03/10,
085808 日月光康和09購01,"1,129,490","1,687,000",24,0.67,0.67,0.66,0.77,03/03,0.60,03/08,
085809 台灣50群益08購09,"6,480","4,000",1,1.62,1.62,1.62,1.62,03/04,1.62,03/04,
085810 元石油群益08購02,"66,560","51,000",9,1.31,1.33,1.11,1.79,03/12,1.11,03/26,
085811 SGBR2X群益08購01,"5,160","2,000",1,2.58,2.58,2.58,2.58,03/10,2.58,03/10,
085812 聚陽群益09購01,"7,075,200","2,616,000",181,2.70,2.62,3.57,3.72,03/26,1.89,03/05,
085813 台積電群益08購23,"670,410","1,454,000",67,0.46,0.47,0.41,0.60,03/03,0.32,03/25,
085814 台積電群益0A購02,"386,480","887,000",42,0.44,0.44,0.36,0.56,03/02,0.33,03/24,
085815 旺宏群益09購03,"1,443,720","660,000",40,2.19,2.17,2.07,3.07,03/02,1.67,03/05,
085816 光罩群益09購02,"17,035,420","5,015,000",358,3.40,2.75,5.45,5.70,03/30,1.26,03/09,
085817 華邦電群益08購05,"218,630","117,000",17,1.87,1.78,1.81,2.56,03/02,1.40,03/09,
085818 華邦電群益08購06,"277,860","142,000",3,1.96,1.96,1.91,2.00,03/30,1.91,03/31,
085819 宏碁群益09購02,"7,950,250","3,014,000",343,2.64,2.33,3.17,3.51,03/25,1.62,03/05,
085820 台光電群益09購01,"3,353,110","2,580,000",46,1.30,1.35,1.23,1.67,03/04,1.17,03/26,
085821 南亞科群益08購04,"15,912,750","6,608,000",123,2.41,2.29,2.16,2.67,03/18,1.94,03/29,
085822 南亞科群益08購05,"1,776,810","787,000",72,2.26,2.11,1.96,2.53,03/18,1.81,03/30,
085823 奇力新群益08購04,"1,077,040","592,000",41,1.82,1.74,1.61,2.10,03/02,1.52,03/15,
085824 華新科群益08購04,"12,742,660","13,782,000",253,0.92,0.94,0.84,1.31,03/16,0.74,03/25,
085825 華新科群益08購05,"654,760","641,000",93,1.02,0.92,0.77,1.39,03/16,0.69,03/25,
085826 富邦金群益0A購02,"4,300,470","1,822,000",410,2.36,2.34,3.04,3.22,03/31,1.53,03/05,
085827 大立光群益08購07,"5,912,590","3,332,000",36,1.77,1.68,1.25,1.91,03/10,1.25,03/26,
085828 大立光群益09購02,"35,770","27,000",2,1.32,1.33,1.33,1.33,03/11,1.32,03/11,
085829 亞光群益08購02,"11,657,360","6,850,000",142,1.70,1.61,1.41,2.01,03/11,1.30,03/25,
085830 欣興群益08購04,"359,530","260,000",51,1.38,1.23,1.17,1.83,03/02,0.97,03/25,
085831 欣興群益09購02,"1,175,520","799,000",28,1.47,1.19,1.16,1.77,03/02,0.91,03/25,
085832 晶技群益08購04,"493,030","954,000",34,0.52,0.51,0.53,0.59,03/31,0.48,03/18,
085833 玉晶光群益09購02,"469,900","380,000",164,1.24,1.18,1.10,1.45,03/03,1.01,03/29,
085834 創意群益08購05,"2,054,440","847,000",118,2.43,2.41,1.94,3.42,03/02,1.70,03/25,
085835 松翰群益08購04,"16,836,440","4,600,000",347,3.66,3.76,5.00,5.65,03/30,2.90,03/05,
085836 台郡群益08購01,"27,900","40,000",4,0.70,0.70,0.63,0.74,03/03,0.63,03/31,
085837 同欣電群益08購07,"36,100","20,000",3,1.80,1.81,1.77,1.84,03/15,1.77,03/16,
085838 台表科群益08購02,"4,481,140","3,086,000",255,1.45,1.46,1.46,1.82,03/19,0.90,03/09,
085839 台表科群益08購03,"746,320","550,000",32,1.36,1.31,1.28,1.58,03/19,1.03,03/12,
085840 世紀鋼群益09購01,"1,868,600","1,347,000",66,1.39,1.29,0.98,1.63,03/04,0.90,03/30,
085841 國巨國泰0A購01,"4,462,150","3,050,000",126,1.46,1.36,1.24,2.02,03/02,1.08,03/09,
085842 上緯控國泰0A購01,"2,263,790","2,142,000",77,1.06,1.06,0.91,1.44,03/04,0.85,03/26,
085843 力山統一0A購01,"5,882,330","7,559,000",303,0.78,0.76,0.80,0.93,03/16,0.57,03/09,
085844 榮成統一0A購01,"7,164,990","7,764,000",367,0.92,0.88,0.80,1.17,03/11,0.72,03/22,
085845 鴻海統一0A購14,"2,511,820","2,166,000",579,1.16,1.15,1.17,1.53,03/23,0.84,03/04,
085846 台積電統一0C購04,"3,436,970","6,103,000",174,0.56,0.56,0.49,0.69,03/03,0.42,03/25,
085847 台積電統一12購01,"3,695,360","9,810,000",267,0.38,0.40,0.33,0.53,03/02,0.30,03/25,
085848 旺宏統一09購05,"283,200","487,000",23,0.58,0.59,0.55,0.90,03/02,0.44,03/09,
085849 旺宏統一0A購02,"980,460","2,117,000",43,0.46,0.44,0.48,0.69,03/02,0.32,03/08,
085850 華邦電統一08購07,"10,100","20,000",2,0.50,0.50,0.49,0.52,03/29,0.49,03/30,
085851 華邦電統一0A購04,"99,000","148,000",9,0.67,0.63,0.66,0.87,03/02,0.56,03/19,
085852 宏碁統一0A購08,"4,797,730","4,636,000",201,1.03,0.90,1.16,1.30,03/25,0.66,03/05,
085853 聯發科統一0C購03,"294,370","569,000",20,0.52,0.46,0.58,0.58,03/30,0.39,03/10,
085854 華新科統一0A購04,"511,310","776,000",62,0.66,0.63,0.56,0.80,03/16,0.50,03/25,
085855 大立光統一0A購05,"156,000","200,000",2,0.78,0.78,0.77,0.79,03/03,0.77,03/15,
085856 亞光統一0A購01,"2,230,740","3,637,000",150,0.61,0.58,0.53,0.70,03/11,0.50,03/29,
085857 亞光統一0A購02,"918,050","1,593,000",63,0.58,0.55,0.47,0.65,03/02,0.45,03/25,
085858 亞光統一0A購03,"204,700","346,000",31,0.59,0.59,0.57,0.66,03/03,0.54,03/23,
085859 亞光統一0A購04,"36,260","64,000",12,0.57,0.56,0.52,0.61,03/05,0.50,03/25,
085860 聯詠統一0A購04,"2,151,680","2,723,000",133,0.79,0.69,0.94,1.04,03/31,0.44,03/05,
085861 聯詠統一0A購05,"14,418,060","23,190,000",819,0.62,0.52,0.72,0.82,03/31,0.35,03/05,
085862 欣興統一0A購03,"571,550","1,018,000",33,0.56,0.58,0.56,0.86,03/02,0.45,03/25,
085863 欣興統一0A購04,"990,500","1,977,000",60,0.50,0.53,0.51,0.80,03/02,0.41,03/25,
085864 晶技統一09購01,"4,600","10,000",1,0.46,0.46,0.46,0.46,03/03,0.46,03/03,
085866 牧德統一0A購01,"1,264,130","1,881,000",34,0.67,0.65,0.66,0.77,03/02,0.59,03/22,
085867 松翰統一0A購01,"883,760","1,255,000",73,0.70,0.68,0.80,0.88,03/30,0.57,03/04,
085868 台郡統一0A購01,"303,310","665,000",22,0.46,0.46,0.46,0.50,03/17,0.42,03/26,
085869 景碩台新08購01,"566,270","266,000",14,2.13,2.09,3.10,3.10,03/31,1.75,03/17,
085870 華邦電元富0A購07,"64,100","115,000",5,0.56,0.53,0.47,0.62,03/04,0.47,03/10,
085872 亞光元富0B購01,"1,476,340","1,832,000",97,0.81,0.79,0.75,0.95,03/02,0.70,03/23,
085873 聯詠元富09購05,"6,223,970","9,883,000",127,0.63,0.58,0.86,0.98,03/31,0.41,03/05,
085874 京鼎元富08購03,"257,840","316,000",6,0.82,0.82,0.74,0.91,03/29,0.74,03/31,
085875 松翰元富0B購01,"5,792,190","3,933,000",168,1.47,1.44,1.80,2.20,03/17,1.14,03/05,
085876 彩晶元富08購03,"2,140,460","1,144,000",41,1.87,1.62,2.38,2.43,03/30,1.06,03/19,
085877 中鋼國票09購01,"4,421,540","3,261,000",47,1.36,1.38,1.37,1.54,03/11,1.23,03/29,
085878 大成鋼國票09購01,"10,213,270","4,397,000",118,2.32,1.91,2.01,2.94,03/04,0.62,03/24,
085879 聯電國票09購03,"80,750","108,000",15,0.75,0.73,0.78,0.88,03/04,0.57,03/19,
085880 鴻海國票0A購03,"627,180","574,000",42,1.09,1.25,1.64,1.79,03/23,0.94,03/04,
085881 國巨國票09購05,"452,600","480,000",110,0.94,0.89,0.80,1.21,03/02,0.70,03/25,
085882 國巨國票0A購01,"15,300","23,000",3,0.67,0.67,0.70,0.70,03/22,0.62,03/09,
085883 台積電國票08購20,"414,360","520,000",43,0.80,0.80,0.62,1.12,03/02,0.53,03/25,
085884 台積電國票09購12,"90,310","179,000",17,0.50,0.57,0.50,0.74,03/03,0.41,03/25,
085885 台積電國票09購13,"459,740","446,000",31,1.03,1.02,0.89,1.20,03/03,0.78,03/25,
085886 台積電國票09購14,"3,662,440","3,959,000",129,0.93,0.90,0.79,1.09,03/03,0.69,03/25,
085887 台積電國票09購15,"1,389,680","1,370,000",80,1.01,0.96,0.77,1.18,03/02,0.70,03/25,
085888 台積電國票0A購01,"1,467,850","1,535,000",98,0.96,0.94,0.81,1.24,03/03,0.62,03/25,
085889 光罩國票09購01,"22,152,530","6,856,000",349,3.23,2.40,4.51,4.96,03/30,0.97,03/10,
085891 聯發科國票08購12,"404,260","308,000",26,1.31,1.18,1.43,1.60,03/02,0.88,03/10,
085892 聯發科國票09購06,"231,610","198,000",13,1.17,1.11,1.30,1.32,03/02,0.84,03/10,
085893 華新科國票09購01,"527,380","458,000",25,1.15,1.09,0.87,1.35,03/16,0.85,03/26,
085894 聯詠國票08購01,"28,444,920","27,261,000",744,1.04,1.06,1.63,1.90,03/31,0.64,03/05,
085895 晶技國票09購02,"257,620","336,000",7,0.77,0.75,0.82,0.82,03/31,0.60,03/25,
085896 創意國票09購01,"79,590","44,000",9,1.81,1.91,1.74,2.02,03/04,1.69,03/11,
085897 日月光國票0A購02,"503,180","698,000",31,0.72,0.72,0.80,0.81,03/02,0.61,03/05,
085898 祥碩國票08購02,"796,530","1,243,000",57,0.64,0.71,0.46,1.13,03/02,0.46,03/31,
085899 台郡國票0A購01,"336,160","372,000",6,0.90,0.90,0.90,1.00,03/02,0.87,03/15,
085900 南電國票09購02,"3,256,390","1,365,000",57,2.39,1.99,2.89,2.97,03/30,1.48,03/10,
085901 允強富邦0A購01,"3,428,980","2,556,000",95,1.34,1.33,1.32,1.49,03/04,1.20,03/22,
085902 國巨富邦09購02,"437,320","456,000",32,0.96,0.90,0.80,1.14,03/03,0.76,03/26,
085903 台積電富邦0B購01,"1,756,940","1,958,000",60,0.90,0.91,0.79,1.10,03/02,0.71,03/25,
085904 燿華富邦0A購01,"12,046,770","8,143,000",315,1.48,1.44,1.34,1.60,03/03,1.26,03/12,
085905 全新富邦0A購01,"7,397,410","7,737,000",231,0.96,0.92,1.16,1.16,03/31,0.70,03/09,
085906 萬海富邦09購01,"1,759,450","1,747,000",143,1.01,0.99,1.32,1.36,03/31,0.79,03/05,
085907 大立光富邦09購04,"401,540","768,000",27,0.52,0.46,0.35,0.61,03/10,0.32,03/25,
085908 亞光富邦09購01,"1,242,980","2,229,000",245,0.56,0.55,0.48,0.68,03/02,0.46,03/29,
085909 健策富邦09購01,"141,370","359,000",46,0.39,0.35,0.30,0.51,03/08,0.23,03/29,
085910 貿聯富邦0A購01,"381,930","982,000",25,0.39,0.38,0.30,0.50,03/02,0.30,03/31,
085911 彩晶富邦08購01,"1,080,920","1,606,000",50,0.67,0.64,0.87,0.94,03/31,0.45,03/22,
085912 力成富邦08購01,"422,260","306,000",29,1.38,1.38,1.39,1.47,03/23,1.29,03/09,
085913 台積電第一0B購01,"78,720","125,000",15,0.63,0.62,0.61,0.74,03/02,0.53,03/25,
085915 光罩中信08購01,"13,114,030","17,132,000",821,0.77,0.56,1.07,1.25,03/30,0.21,03/09,
085916 友達中信09購03,"2,112,770","2,661,000",204,0.79,0.74,0.95,1.08,03/29,0.61,03/15,
085917 友達中信0A購02,"2,105,420","2,362,000",216,0.89,0.84,1.11,1.25,03/29,0.69,03/17,
085918 亞光中信08購02,"52,000","350,000",20,0.15,0.15,0.15,0.17,03/11,0.14,03/15,
085919 禾伸堂中信08購01,"743,360","1,193,000",58,0.62,0.61,0.62,0.74,03/16,0.51,03/04,
085920 臻鼎中信08購01,"6,852,170","16,274,000",264,0.42,0.40,0.28,0.51,03/22,0.28,03/31,
085921 臺股指中信0B購11,"434,360","669,000",42,0.65,0.66,0.73,0.74,03/29,0.55,03/05,
085922 建準兆豐08購01,"335,390","378,000",35,0.89,0.87,0.80,1.05,03/04,0.77,03/31,
085923 華新科兆豐08購01,"2,825,890","4,842,000",169,0.58,0.55,0.42,0.79,03/02,0.40,03/25,
085924 晶豪科兆豐09購02,"16,815,300","10,512,000",730,1.60,1.54,2.17,2.48,03/31,1.21,03/11,
085925 牧德兆豐09購01,"800,550","818,000",24,0.98,0.98,1.02,1.12,03/02,0.89,03/12,
085926 新唐兆豐09購01,"7,839,550","7,532,000",238,1.04,0.93,1.74,1.75,03/31,0.78,03/25,
085927 和碩兆豐08購01,"1,338,350","1,533,000",106,0.87,0.86,0.83,1.04,03/03,0.73,03/11,
085928 大立光日盛08購01,"1,696,680","1,668,000",37,1.02,0.85,0.59,1.21,03/10,0.59,03/31,
085929 大立光日盛09購01,"694,150","314,000",50,2.21,1.84,1.41,2.39,03/10,1.41,03/31,
085930 景碩日盛08購01,"1,473,460","924,000",102,1.59,1.36,1.97,2.23,03/31,1.05,03/22,
085931 臻鼎日盛08購01,"1,374,660","1,537,000",71,0.89,0.84,0.68,1.02,03/18,0.66,03/09,
085933 南帝群益08購01,"16,146,420","7,217,000",295,2.24,2.93,7.00,7.00,03/31,1.21,03/05,
085934 旺宏群益0A購03,"2,588,050","1,175,000",35,2.20,1.62,1.65,2.39,03/02,1.16,03/09,
085935 光罩群益09購03,"16,411,020","6,172,000",323,2.66,2.51,5.20,5.60,03/30,1.02,03/09,
085936 佳世達群益0A購01,"7,082,030","2,718,000",184,2.61,2.42,3.62,3.62,03/31,1.90,03/09,
085937 建準群益09購01,"538,210","492,000",34,1.09,1.13,1.05,1.37,03/05,1.01,03/26,
085938 可成群益0A購01,"14,836,930","7,620,000",181,1.95,1.93,2.19,2.19,03/31,1.61,03/09,
085939 萬海群益08購07,"19,969,260","6,904,000",604,2.89,2.92,4.36,4.65,03/31,2.20,03/09,
085940 晶豪科群益0B購01,"16,066,340","7,893,000",421,2.04,1.98,2.61,2.90,03/31,1.60,03/10,
085941 大立光群益09購03,"50,300","70,000",5,0.72,0.69,0.65,0.88,03/19,0.64,03/24,
085942 大立光群益0C購01,"1,369,780","1,564,000",66,0.88,0.84,0.66,1.02,03/09,0.66,03/31,
085943 聯陽群益0A購01,"5,259,310","2,291,000",145,2.30,2.23,2.43,2.65,03/16,1.66,03/04,
085944 聯詠群益08購03,"12,137,530","9,013,000",350,1.35,1.20,1.71,1.96,03/31,0.84,03/04,
085945 智原群益09購01,"891,380","836,000",51,1.07,1.04,1.02,1.17,03/16,0.97,03/29,
085946 玉晶光群益0A購01,"1,018,520","868,000",195,1.17,1.17,1.06,1.51,03/03,0.90,03/24,
085947 京鼎群益09購02,"5,822,130","3,803,000",148,1.53,1.41,1.38,1.72,03/29,1.19,03/10,
085948 創意群益08購06,"1,660,680","820,000",107,2.03,1.97,1.52,2.78,03/04,1.37,03/25,
085949 群創群益09購09,"10,732,890","4,097,000",323,2.62,1.97,3.05,3.44,03/29,1.35,03/19,
085950 祥碩群益08購05,"2,758,540","2,089,000",193,1.32,1.31,0.96,2.05,03/02,0.94,03/19,
085951 志超群益09購01,"11,053,230","5,366,000",241,2.06,2.02,2.02,2.31,03/22,1.78,03/04,
085952 美德醫群益08購01,"2,602,780","2,550,000",141,1.02,0.97,0.74,1.49,03/02,0.72,03/29,
085953 世紀鋼群益09購02,"221,210","241,000",17,0.92,0.88,0.55,1.19,03/02,0.55,03/31,
