,民國110年01月,,,,,,,January 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
083823 台積電凱基08購13,"177,450","195,000",11,0.91,0.90,0.86,1.03,01/26,0.85,01/28,
083824 台積電凱基09購06,"12,450","12,000",3,1.04,1.02,1.05,1.05,01/27,1.00,01/26,
083825 台積電凱基0A購08,"100,750","111,000",17,0.91,0.91,0.86,1.01,01/27,0.85,01/28,
083826 台積電凱基0C購06,"2,404,810","2,857,000",101,0.84,0.82,0.77,0.96,01/26,0.75,01/29,
083827 智邦凱基09購02,"642,250","332,000",14,1.93,1.87,1.70,2.10,01/27,1.59,01/28,
083828 億光凱基0A購01,"434,150","342,000",20,1.27,1.27,1.27,1.31,01/29,1.25,01/28,
083829 南亞科凱基08購02,"60,720","36,000",3,1.69,1.75,1.75,1.75,01/29,1.64,01/29,
083832 京鼎凱基0A購01,"2,920","2,000",1,1.46,1.46,1.46,1.46,01/26,1.46,01/26,
083833 合勤控凱基07購03,"198,430","131,000",3,1.51,1.55,1.55,1.55,01/29,1.51,01/29,
083834 矽格凱基0A購01,"77,040","84,000",6,0.92,0.91,0.83,1.06,01/26,0.82,01/28,
083835 緯穎凱基0A購01,"207,720","174,000",6,1.19,1.22,1.15,1.28,01/29,1.14,01/28,
083836 明基材凱基09購01,"3,682,670","2,282,000",70,1.61,1.51,1.37,1.75,01/29,1.37,01/29,
083837 鈺齊凱基09購01,"13,900","20,000",2,0.70,0.70,0.68,0.71,01/26,0.68,01/27,
083838 臺股指凱基09購12,"115,210","83,000",18,1.39,1.26,1.00,1.63,01/26,1.00,01/29,
083839 T50反1群益09購09,"372,530","443,000",15,0.84,0.85,0.89,0.89,01/29,0.78,01/27,
083841 鴻海群益08購09,"1,021,510","1,147,000",33,0.89,0.85,0.67,0.99,01/27,0.67,01/29,
083842 台積電群益08購14,"175,030","218,000",6,0.80,0.81,0.82,0.87,01/27,0.73,01/28,
083843 台積電群益09購03,"1,217,790","1,240,000",46,0.98,0.96,0.86,1.27,01/26,0.86,01/29,
083844 台積電群益09購04,"1,702,380","1,223,000",54,1.39,1.30,1.13,1.69,01/26,1.13,01/29,
083845 旺宏群益07購02,"77,400","30,000",6,2.58,2.58,2.50,2.66,01/27,2.50,01/28,
083846 華邦電群益08購04,"555,670","141,000",32,3.94,3.95,3.57,4.42,01/27,3.57,01/29,
083847 瑞昱群益07購05,"416,000","400,000",2,1.04,1.04,1.09,1.09,01/27,0.99,01/26,
083848 友達群益08購02,"1,243,680","633,000",15,1.96,1.78,1.96,2.11,01/29,1.59,01/28,
083849 聯發科群益08購10,"624,300","282,000",56,2.21,2.25,2.30,2.53,01/27,2.01,01/28,
083850 聯發科群益08購11,"401,300","116,000",10,3.46,3.56,3.65,3.92,01/27,3.15,01/28,
083851 大立光群益08購03,"375,680","292,000",18,1.29,1.26,1.22,1.32,01/28,1.22,01/29,
083854 嘉聯益群益08購02,"324,390","130,000",11,2.50,2.52,2.38,2.69,01/28,2.36,01/29,
083855 聯茂群益08購02,"10,880","6,000",3,1.81,1.78,1.77,1.87,01/27,1.77,01/28,
083856 矽格群益07購02,"301,280","336,000",5,0.90,0.83,0.67,1.03,01/26,0.67,01/29,
083857 同欣電群益08購06,"150,260","53,000",6,2.84,2.76,2.62,2.90,01/28,2.62,01/29,
083859 鈺齊群益08購01,"213,690","151,000",5,1.42,1.39,1.37,1.47,01/28,1.37,01/29,
083860 臺股指群益07購24,"1,257,450","1,097,000",28,1.15,1.10,1.03,1.30,01/27,0.97,01/28,
083861 臺股指群益07購25,"209,920","164,000",1,1.28,1.28,1.28,1.28,01/28,1.28,01/28,
083862 上銀國票08購02,"479,570","202,000",4,2.37,2.20,2.06,2.51,01/26,2.06,01/27,
083863 台達電國票09購01,970,"1,000",1,0.97,0.97,0.97,0.97,01/28,0.97,01/28,
083864 鴻海國票0A購01,"319,790","346,000",14,0.92,1.06,0.84,1.23,01/28,0.84,01/29,
083865 台積電國票07購09,"346,330","553,000",20,0.63,0.62,0.58,0.74,01/26,0.58,01/29,
083866 台積電國票07購10,"220,560","433,000",13,0.51,0.48,0.47,0.57,01/29,0.47,01/29,
083867 台積電國票08購12,"112,280","129,000",12,0.87,0.88,0.72,1.04,01/26,0.72,01/29,
083868 台積電國票08購13,"104,000","100,000",2,1.04,1.04,0.93,1.15,01/26,0.93,01/27,
083869 台積電國票08購14,"846,280","2,196,000",44,0.39,0.39,0.32,0.54,01/26,0.32,01/29,
083870 台積電國票09購05,"722,020","984,000",17,0.73,0.73,0.68,0.82,01/26,0.64,01/28,
083871 智邦國票08購02,"245,530","167,000",4,1.47,1.50,1.29,1.61,01/27,1.22,01/29,
083872 京元電國票08購01,"135,420","126,000",8,1.07,1.06,0.91,1.21,01/26,0.89,01/28,
083873 合勤控國票08購01,"50,750","29,000",1,1.75,1.75,1.75,1.75,01/29,1.75,01/29,
083875 矽格國票08購01,"48,360","42,000",4,1.15,1.25,1.11,1.48,01/26,1.11,01/29,
083877 南電國票08購03,"397,510","158,000",11,2.52,2.53,2.59,2.62,01/27,2.20,01/27,
083880 瑞昱國泰09購02,"1,231,940","793,000",21,1.55,1.44,1.23,1.71,01/26,1.23,01/29,
083881 大立光國泰0B購01,"384,350","251,000",8,1.53,1.52,1.47,1.60,01/28,1.47,01/29,
083882 大立光國泰0B購02,"387,320","275,000",12,1.41,1.40,1.35,1.49,01/29,1.35,01/29,
083883 玉晶光國泰09購02,"184,820","109,000",9,1.70,1.68,1.65,1.75,01/29,1.65,01/29,
083884 祥碩國泰09購01,"2,950,190","1,436,000",21,2.05,1.98,2.05,2.15,01/29,1.84,01/26,
083885 聯發科富邦09購03,"699,520","1,346,000",12,0.52,0.50,0.49,0.52,01/29,0.49,01/29,
083886 京鼎富邦07購01,"48,500","120,000",8,0.40,0.35,0.30,0.47,01/26,0.30,01/29,
083889 中石化元大07購02,"1,220","2,000",1,0.61,0.61,0.61,0.61,01/29,0.61,01/29,
08388P 台灣50中信03售09,"2,110","51,000",6,0.04,0.03,0.02,0.13,01/05,0.02,01/26,
083890 東鋼元大07購01,"490,440","251,000",3,1.95,1.69,1.44,1.96,01/26,1.44,01/29,
083891 台達電元大07購11,"261,680","194,000",18,1.35,1.34,1.35,1.52,01/29,1.24,01/28,
083892 台達電元大07購12,"157,340","115,000",12,1.37,1.30,1.23,1.49,01/29,1.23,01/29,
083893 國巨元大07購26,"110,930","54,000",10,2.05,2.01,1.88,2.60,01/26,1.84,01/28,
083894 台積電元大07購41,"13,900","10,000",1,1.39,1.39,1.39,1.39,01/29,1.39,01/29,
083895 台積電元大07購42,"755,520","531,000",37,1.42,1.38,1.21,1.85,01/26,1.21,01/29,
083896 台積電元大09購06,"4,981,660","2,264,000",214,2.20,2.24,1.96,2.77,01/26,1.96,01/29,
083897 台積電元大09購07,"1,549,450","663,000",196,2.34,2.28,1.99,2.89,01/26,1.99,01/29,
083898 旺宏元大07購07,"102,510","42,000",3,2.44,2.41,2.03,2.88,01/26,2.03,01/29,
083899 順德元大07購06,"17,100","10,000",1,1.71,1.71,1.71,1.71,01/26,1.71,01/26,
083900 漢唐元大07購04,"23,480","22,000",3,1.07,1.08,1.00,1.17,01/27,1.00,01/28,
083901 京元電元大07購03,"222,770","221,000",16,1.01,0.99,0.80,1.42,01/26,0.80,01/29,
083902 聯發科元大07購32,"104,850","82,000",7,1.28,1.32,1.32,1.44,01/27,1.17,01/28,
083903 聯發科元大07購33,"186,500","195,000",7,0.96,0.95,0.96,1.03,01/29,0.90,01/28,
083904 聯發科元大0A購01,"245,560","206,000",36,1.19,1.16,1.16,1.37,01/26,1.06,01/28,
083906 立隆電元大07購03,"2,065,220","1,269,000",47,1.63,1.51,1.37,1.80,01/28,1.37,01/29,
083907 可成元大07購05,"425,640","221,000",14,1.93,1.90,1.87,2.05,01/28,1.75,01/26,
083908 冠德元大07購01,"66,510","53,000",4,1.25,1.23,1.21,1.30,01/27,1.21,01/28,
083909 嘉晶元大07購03,"207,940","144,000",11,1.44,1.45,1.38,1.52,01/27,1.38,01/28,
083911 日月光元大07購10,"6,350","5,000",1,1.27,1.27,1.27,1.27,01/27,1.27,01/27,
083912 臻鼎元大07購05,"134,910","76,000",8,1.78,1.84,1.64,1.98,01/26,1.64,01/28,
083913 臻鼎元大07購06,"37,430","21,000",3,1.78,1.86,1.64,2.03,01/26,1.64,01/28,
083916 力成元大07購01,"87,380","56,000",7,1.56,1.49,1.31,1.69,01/27,1.31,01/29,
083917 矽格元大07購03,"378,950","317,000",8,1.20,1.11,0.91,1.56,01/26,0.91,01/28,
083918 同欣電元大07購07,"178,540","126,000",9,1.42,1.38,1.21,1.53,01/26,1.21,01/29,
083922 台積電兆豐08購10,"52,400","60,000",2,0.87,0.89,0.89,0.89,01/28,0.87,01/28,
083923 瑞昱兆豐08購02,"74,420","134,000",5,0.56,0.52,0.49,0.60,01/28,0.49,01/29,
083924 漢唐兆豐08購02,"6,960","6,000",1,1.16,1.16,1.16,1.16,01/28,1.16,01/28,
083925 聯發科兆豐07購08,"47,950","73,000",19,0.66,0.62,0.64,0.73,01/29,0.61,01/28,
083927 台灣50中信0B購01,"52,200","120,000",6,0.44,0.41,0.37,0.45,01/28,0.37,01/29,
083928 聯電中信09購02,"123,070","251,000",15,0.49,0.52,0.47,0.60,01/27,0.45,01/28,
083930 可成中信09購01,"140,260","179,000",19,0.78,0.75,0.73,0.81,01/28,0.73,01/29,
083931 可成中信0A購01,"58,380","100,000",5,0.58,0.57,0.55,0.61,01/28,0.55,01/29,
083932 聯詠中信09購02,"8,750","14,000",2,0.62,0.62,0.57,0.68,01/27,0.57,01/28,
083936 台郡中信07購01,"124,250","250,000",11,0.50,0.48,0.47,0.52,01/28,0.47,01/29,
083938 南電中信07購01,"5,870","25,000",8,0.23,0.22,0.21,0.26,01/29,0.21,01/29,
083939 台灣50日盛09購01,"73,540","148,000",12,0.50,0.52,0.42,0.67,01/27,0.42,01/29,
083940 國巨日盛08購02,"7,320","4,000",3,1.83,1.82,1.65,2.02,01/27,1.65,01/28,
083941 祥碩日盛08購01,"492,470","452,000",17,1.09,1.13,1.08,1.16,01/27,1.04,01/28,
083942 臺股指日盛09購02,"13,600","20,000",1,0.68,0.68,0.68,0.68,01/28,0.68,01/28,
083947 大亞凱基07購02,"58,480","52,000",4,1.12,1.14,1.14,1.14,01/29,1.09,01/29,
083948 中鋼凱基08購01,"65,600","50,000",3,1.31,1.32,1.33,1.33,01/29,1.26,01/29,
083949 鴻海凱基09購06,"133,290","116,000",9,1.15,1.06,0.81,1.32,01/27,0.81,01/29,
083950 鴻海凱基0A購10,"12,700","15,000",2,0.85,0.84,0.84,0.85,01/28,0.84,01/28,
083951 國巨凱基07購11,"721,260","425,000",27,1.70,1.73,1.66,2.01,01/27,1.59,01/28,
083952 華邦電凱基07購08,"1,430","1,000",1,1.43,1.43,1.43,1.43,01/29,1.43,01/29,
083953 瑞昱凱基08購03,"224,500","200,000",3,1.12,1.13,1.01,1.25,01/28,1.01,01/29,
083954 瑞昱凱基09購01,"3,100","5,000",1,0.62,0.62,0.62,0.62,01/29,0.62,01/29,
083955 漢唐凱基07購02,"19,020","18,000",3,1.06,1.04,0.99,1.16,01/27,0.97,01/28,
083956 友達凱基08購05,"296,420","211,000",13,1.40,1.37,1.48,1.51,01/29,1.26,01/28,
083957 圓剛凱基07購02,"95,660","72,000",10,1.33,1.28,1.19,1.53,01/27,1.19,01/29,
083959 義隆凱基08購02,820,"1,000",1,0.82,0.82,0.82,0.82,01/28,0.82,01/28,
083960 大毅凱基07購01,"83,760","51,000",7,1.64,1.61,1.50,1.74,01/28,1.50,01/29,
083961 華新科凱基07購06,"317,560","136,000",18,2.34,2.34,2.28,2.39,01/27,2.28,01/28,
083962 大立光凱基08購07,"295,660","119,000",20,2.48,2.47,2.43,2.57,01/28,2.43,01/29,
083964 智原凱基07購01,"424,080","340,000",10,1.25,1.25,1.27,1.28,01/29,1.21,01/28,
083965 欣興凱基07購03,"44,900","105,000",4,0.43,0.45,0.42,0.50,01/27,0.42,01/29,
083966 欣興凱基0C購01,"10,600","20,000",2,0.53,0.53,0.49,0.57,01/27,0.49,01/28,
083967 景碩凱基07購01,"27,390","24,000",9,1.14,1.08,1.02,1.23,01/27,1.00,01/28,
083968 玉晶光凱基07購09,"320,200","132,000",12,2.43,2.41,2.29,2.50,01/29,2.29,01/29,
083969 嘉澤凱基07購02,"21,400","20,000",2,1.07,1.07,1.08,1.08,01/29,1.06,01/28,
083970 祥碩凱基08購03,"679,040","430,000",12,1.58,1.59,1.55,1.70,01/27,1.51,01/28,
083973 南電凱基08購04,"9,290","8,000",4,1.16,1.25,1.16,1.35,01/27,1.09,01/27,
083974 南電凱基0C購01,"248,670","322,000",14,0.77,0.75,0.65,0.85,01/27,0.65,01/29,
083978 台灣50群益07購15,"50,600","92,000",1,0.55,0.55,0.55,0.55,01/28,0.55,01/28,
083979 香港反群益0A購01,"23,200","20,000",2,1.16,1.15,1.15,1.17,01/28,1.15,01/28,
083980 上銀群益07購04,"28,220","52,000",4,0.54,0.59,0.46,0.75,01/27,0.46,01/29,
083981 南帝群益07購01,"60,850","30,000",4,2.03,1.94,1.90,2.24,01/28,1.90,01/29,
083982 鴻海群益08購10,"946,750","965,000",11,0.98,1.13,0.85,1.42,01/27,0.83,01/29,
083983 鴻海群益0A購01,"10,384,470","6,618,000",80,1.57,1.58,1.41,1.84,01/27,1.41,01/29,
083984 國巨群益08購12,"1,460","1,000",1,1.46,1.46,1.46,1.46,01/29,1.46,01/29,
083985 台積電群益09購05,"632,310","420,000",16,1.51,1.54,1.45,1.70,01/27,1.44,01/28,
083986 華碩群益07購02,"117,300","102,000",9,1.15,1.14,1.08,1.21,01/27,1.08,01/29,
083987 漢唐群益07購01,"16,160","16,000",2,1.01,1.01,0.92,1.10,01/27,0.92,01/28,
083988 南亞科群益08購03,"149,180","57,000",10,2.62,2.58,2.53,2.71,01/27,2.51,01/28,
083989 帆宣群益08購01,"69,470","63,000",5,1.10,1.12,1.10,1.21,01/27,1.05,01/28,
083990 南六群益08購01,"2,280","1,000",1,2.28,2.28,2.28,2.28,01/27,2.28,01/27,
083993 南紡永豐07購01,"13,300","14,000",1,0.95,0.95,0.95,0.95,01/29,0.95,01/29,
083995 聯電永豐07購06,"10,000","10,000",1,1.00,1.00,1.00,1.00,01/29,1.00,01/29,
083996 鴻海永豐08購02,"1,339,420","2,325,000",57,0.58,0.56,0.39,0.75,01/27,0.39,01/29,
083997 台積電永豐07購09,"36,600","50,000",5,0.73,0.70,0.70,0.76,01/28,0.70,01/29,
084001 大銀永豐07購02,"1,157,480","1,028,000",73,1.13,1.12,0.96,1.30,01/27,0.96,01/29,
084003 南電永豐07購02,"38,870","35,000",11,1.11,1.04,1.04,1.18,01/29,1.04,01/29,
084006 聯電統一07購05,"1,073,750","1,471,000",22,0.73,0.75,0.64,0.94,01/27,0.64,01/29,
084009 鴻海統一09購13,"1,127,650","1,456,000",8,0.77,0.76,0.70,0.83,01/27,0.70,01/28,
084010 鴻海統一0C購01,"564,980","1,051,000",64,0.54,0.51,0.41,0.63,01/27,0.41,01/29,
084011 廣宇統一09購06,"189,070","201,000",26,0.94,0.86,0.79,1.02,01/28,0.79,01/29,
084012 廣宇統一09購07,"378,170","465,000",49,0.81,0.78,0.67,0.96,01/28,0.67,01/29,
084013 台積電統一09購14,"12,600","20,000",1,0.63,0.63,0.63,0.63,01/28,0.63,01/28,
084015 台積電統一09購16,"147,720","304,000",4,0.49,0.47,0.43,0.51,01/27,0.43,01/29,
084016 台積電統一09購17,"208,700","452,000",11,0.46,0.47,0.44,0.52,01/27,0.44,01/29,
084017 台積電統一0A購06,"52,500","115,000",4,0.46,0.44,0.43,0.46,01/27,0.43,01/29,
084018 台積電統一0C購01,"55,170","111,000",15,0.50,0.51,0.47,0.58,01/27,0.47,01/29,
084019 凱美統一08購01,"1,526,660","1,488,000",49,1.03,1.01,0.96,1.21,01/28,0.93,01/29,
084020 瑞昱統一09購04,"14,730","23,000",7,0.64,0.60,0.60,0.71,01/29,0.59,01/29,
084022 玉晶光統一08購06,"103,680","96,000",2,1.08,1.08,1.11,1.11,01/29,1.05,01/28,
084023 帆宣統一09購01,"4,200","10,000",1,0.42,0.42,0.42,0.42,01/29,0.42,01/29,
084025 南電統一09購06,"664,650","1,222,000",26,0.54,0.54,0.47,0.62,01/27,0.47,01/29,
084026 致新統一09購01,"10,800","20,000",1,0.54,0.54,0.54,0.54,01/29,0.54,01/29,
084028 中興電元富07購04,"284,920","174,000",11,1.64,1.57,1.57,1.77,01/29,1.48,01/29,
084030 台積電元富07購49,"1,840","4,000",2,0.46,0.46,0.40,0.52,01/27,0.40,01/29,
084031 台積電元富07購50,"9,870","12,000",3,0.82,0.78,0.76,0.83,01/28,0.76,01/29,
084033 瑞昱元富0A購03,"61,710","71,000",8,0.87,0.86,0.69,0.95,01/27,0.69,01/29,
084034 聯發科元富11購02,"96,650","136,000",16,0.71,0.71,0.70,0.76,01/27,0.68,01/28,
084035 聯發科元富11購03,"34,850","50,000",3,0.70,0.68,0.70,0.73,01/29,0.67,01/28,
084036 聯發科元富11購04,"519,000","850,000",5,0.61,0.60,0.60,0.63,01/29,0.60,01/29,
084037 聯發科元富11購05,"80,180","143,000",19,0.56,0.56,0.57,0.60,01/29,0.52,01/28,
084039 聯詠元富0A購01,"6,540","11,000",3,0.59,0.58,0.58,0.64,01/29,0.58,01/29,
084042 合勤控元富09購01,"122,030","82,000",2,1.49,1.48,1.48,1.49,01/29,1.48,01/29,
084045 國巨國票07購06,"30,620","19,000",5,1.61,1.62,1.56,1.68,01/29,1.56,01/29,
084047 台積電國票07購11,"1,396,880","2,059,000",80,0.68,0.69,0.62,0.82,01/27,0.59,01/29,
084048 凱美國票08購01,"1,566,680","864,000",26,1.81,1.66,1.46,1.88,01/29,1.46,01/29,
084049 聯發科國票09購04,"441,430","418,000",32,1.06,1.06,1.03,2.03,01/28,0.99,01/28,
084051 欣興國票08購02,"7,700","10,000",1,0.77,0.77,0.77,0.77,01/28,0.77,01/28,
084053 宏碁國泰09購01,"3,701,090","1,582,000",70,2.34,2.07,1.98,2.80,01/29,0.56,01/28,
084054 聯電富邦08購02,"19,420","30,000",5,0.65,0.63,0.61,0.75,01/27,0.58,01/28,
084055 智原富邦08購01,"112,400","210,000",11,0.54,0.52,0.50,0.54,01/29,0.50,01/29,
084057 嘉聯益富邦09購01,"82,350","170,000",22,0.48,0.46,0.46,0.55,01/29,0.46,01/29,
084059 矽格富邦07購01,"10,400","20,000",2,0.52,0.52,0.47,0.57,01/27,0.47,01/28,
084060 台灣50元大0A購04,"1,000,140","948,000",6,1.06,1.06,1.11,1.11,01/29,1.00,01/28,
084063 台灣50元大0A購07,"896,640","966,000",8,0.93,0.83,0.79,0.96,01/29,0.79,01/29,
084064 元石油元大07購05,"8,250","10,000",2,0.82,0.82,0.80,0.85,01/27,0.80,01/29,
084066 亞德客元大07購06,"761,530","515,000",16,1.48,1.29,0.87,1.75,01/27,0.87,01/29,
084069 上銀元大07購07,"23,900","20,000",2,1.20,1.20,1.11,1.28,01/27,1.11,01/28,
084070 聯電元大07購17,"85,600","80,000",6,1.07,1.02,0.98,1.13,01/29,0.98,01/29,
084073 鴻海元大07購28,"543,550","488,000",34,1.11,1.03,0.80,1.26,01/27,0.80,01/29,
084074 鴻海元大07購29,"507,400","546,000",33,0.93,0.90,0.65,1.15,01/27,0.65,01/29,
084075 鴻海元大07購30,"981,830","981,000",53,1.00,0.95,0.72,1.20,01/27,0.72,01/29,
084076 鴻海元大07購31,"406,590","437,000",41,0.93,0.83,0.62,1.07,01/27,0.62,01/29,
084077 鴻海元大07購32,"57,630","69,000",5,0.84,0.89,0.80,1.01,01/27,0.80,01/29,
084078 國巨元大07購27,"30,910","19,000",4,1.63,1.61,1.55,1.76,01/27,1.52,01/28,
084079 廣宇元大07購07,"4,465,430","2,725,000",75,1.64,1.49,1.24,1.95,01/28,1.23,01/29,
084080 台積電元大07購43,"6,170","5,000",3,1.23,1.24,1.30,1.30,01/29,1.18,01/28,
084081 台積電元大07購44,"55,200","40,000",2,1.38,1.38,1.43,1.43,01/29,1.33,01/28,
084083 順德元大07購07,"113,490","60,000",4,1.89,1.93,1.68,2.10,01/27,1.68,01/29,
084084 順德元大07購08,"104,040","60,000",6,1.73,1.75,1.51,1.90,01/27,1.51,01/29,
084085 凱美元大07購03,"793,330","594,000",41,1.34,1.27,1.25,1.54,01/28,1.13,01/28,
084086 凱美元大09購01,"642,590","402,000",18,1.60,1.67,1.62,1.72,01/28,1.55,01/29,
084087 興勤元大07購02,"1,410","1,000",1,1.41,1.41,1.41,1.41,01/29,1.41,01/29,
084088 京元電元大07購04,"270,810","256,000",9,1.06,1.02,0.99,1.14,01/29,0.99,01/29,
084089 京元電元大08購01,"233,050","208,000",6,1.12,1.08,1.04,1.14,01/29,1.04,01/29,
084091 大立光元大07購10,"1,165,040","539,000",12,2.16,2.06,1.97,2.23,01/28,1.97,01/29,
084092 大立光元大07購11,"96,070","49,000",7,1.96,1.92,1.79,2.04,01/28,1.79,01/29,
084093 大立光元大09購02,"330,820","158,000",8,2.09,2.04,1.91,2.18,01/28,1.91,01/29,
084094 聯詠元大07購09,"1,420","1,000",1,1.42,1.42,1.42,1.42,01/29,1.42,01/29,
084095 智原元大07購03,"498,420","296,000",14,1.68,1.64,1.74,1.74,01/29,1.47,01/28,
084096 玉晶光元大08購06,"23,340","17,000",2,1.37,1.37,1.32,1.42,01/27,1.32,01/28,
084097 貿聯元大07購08,"474,840","180,000",24,2.64,2.75,2.55,3.11,01/27,2.43,01/28,
084098 日月光元大07購11,"18,600","18,000",5,1.03,0.94,0.84,1.08,01/27,0.84,01/28,
084099 日月光元大07購12,"17,280","16,000",2,1.08,1.08,1.12,1.12,01/29,1.04,01/28,
084100 和碩元大07購04,"18,138,340","10,043,000",190,1.81,1.79,1.62,2.02,01/28,1.62,01/29,
084102 樺漢元大07購04,"412,920","213,000",29,1.94,1.95,1.94,2.01,01/29,1.87,01/28,
084103 緯穎元大07購06,"18,120","12,000",2,1.51,1.51,1.53,1.53,01/29,1.49,01/28,
084113 鴻海群益08購11,"44,160","45,000",6,0.98,0.90,0.90,1.02,01/29,0.90,01/29,
084114 台積電群益08購15,"52,200","30,000",3,1.74,1.65,1.63,1.91,01/29,1.63,01/29,
084116 凱美群益07購02,"2,800","3,000",2,0.93,1.00,1.00,1.00,01/28,0.90,01/28,
084118 友達群益08購03,"1,377,330","597,000",12,2.31,2.23,2.23,2.45,01/29,2.23,01/29,
084120 義隆群益08購01,"49,550","44,000",10,1.13,1.06,0.98,1.15,01/29,0.98,01/29,
084124 群創群益08購01,"27,360","24,000",2,1.14,1.14,1.14,1.14,01/29,1.14,01/29,
084127 順德兆豐07購01,"43,440","59,000",9,0.74,0.69,0.62,0.84,01/28,0.62,01/29,
084130 致伸兆豐07購01,"523,150","470,000",14,1.11,1.12,1.14,1.19,01/29,1.09,01/29,
084135 光寶科永豐07購01,"1,130","1,000",1,1.13,1.13,1.13,1.13,01/29,1.13,01/29,
084140 國巨永豐07購06,"73,550","67,000",10,1.10,1.08,1.13,1.17,01/29,1.04,01/28,
084144 凱美永豐07購04,"185,510","293,000",12,0.63,0.54,0.51,0.71,01/28,0.51,01/29,
084145 圓剛永豐07購02,"10,920","12,000",2,0.91,0.91,0.82,1.00,01/28,0.82,01/29,
084146 聯發科永豐08購01,"94,400","175,000",5,0.54,0.52,0.53,0.58,01/29,0.50,01/28,
084148 宏達電永豐07購01,"335,220","287,000",10,1.17,1.25,1.25,1.25,01/29,1.13,01/29,
084149 聯電日盛09購01,"12,640","8,000",1,1.58,1.58,1.58,1.58,01/29,1.58,01/29,
084150 友達日盛07購02,"111,690","88,000",4,1.27,1.28,1.28,1.28,01/29,1.23,01/29,
084152 群創日盛09購01,"126,340","96,000",12,1.32,1.32,1.32,1.32,01/29,1.30,01/29,
084153 和碩日盛07購01,"29,130","28,000",3,1.04,1.04,1.05,1.05,01/29,1.02,01/28,
084154 和碩日盛08購01,"238,310","120,000",19,1.99,1.91,1.76,2.14,01/29,1.76,01/29,
084155 漢唐麥證07購01,"8,470","7,000",1,1.21,1.21,1.21,1.21,01/28,1.21,01/28,
084156 日月光麥證07購02,500,"1,000",1,0.50,0.50,0.50,0.50,01/29,0.50,01/29,
084161 鴻海凱基07購09,"5,320","8,000",2,0.66,0.66,0.58,0.75,01/28,0.58,01/29,
084164 廣宇凱基07購05,"176,190","90,000",22,1.96,1.67,1.52,2.20,01/28,1.52,01/29,
084165 台積電凱基09購07,"1,850","2,000",2,0.92,0.92,0.97,0.97,01/29,0.88,01/28,
084166 台積電凱基09購08,"330,210","323,000",16,1.02,1.01,1.01,1.10,01/29,0.99,01/28,
084168 凱美凱基07購01,"60,120","73,000",6,0.82,0.84,0.70,0.99,01/28,0.70,01/29,
084169 友達凱基09購03,"38,830","43,000",5,0.90,0.89,0.89,0.92,01/29,0.88,01/29,
084170 美律凱基07購01,"59,320","44,000",6,1.35,1.32,1.32,1.38,01/29,1.31,01/29,
084171 聯發科凱基07購07,"361,210","269,000",28,1.34,1.21,1.21,1.38,01/29,1.21,01/29,
084174 大立光凱基07購08,"13,300","10,000",2,1.33,1.30,1.30,1.36,01/29,1.30,01/29,
084178 大銀凱基07購02,"338,180","282,000",26,1.20,1.06,1.03,1.28,01/28,1.03,01/29,
084179 乙盛凱基07購02,"65,730","41,000",10,1.60,1.50,1.25,1.74,01/28,1.25,01/29,
084181 樺漢凱基07購01,"74,500","55,000",7,1.35,1.27,1.27,1.46,01/29,1.27,01/29,
084183 臺股指凱基07購33,"570,130","564,000",17,1.01,0.92,0.84,1.07,01/29,0.84,01/29,
084184 T50正2元大0A購05,"1,128,590","886,000",15,1.27,1.21,1.21,1.34,01/29,1.21,01/29,
084188 聯電元大07購21,"17,470","18,000",5,0.97,0.95,0.94,1.02,01/29,0.94,01/29,
08418P 大立光元大01售04,"111,320","142,000",3,0.78,1.06,1.34,1.34,01/07,0.78,01/04,
084191 台達電元大07購14,"10,700","10,000",1,1.07,1.07,1.07,1.07,01/29,1.07,01/29,
084192 鴻海元大07購33,"223,510","215,000",18,1.04,1.00,0.90,1.13,01/28,0.88,01/29,
084193 鴻海元大07購34,"283,160","250,000",15,1.13,1.04,0.91,1.19,01/29,0.91,01/29,
084194 鴻海元大07購35,"461,550","381,000",31,1.21,1.11,0.98,1.29,01/28,0.98,01/29,
084196 廣宇元大07購08,"286,840","160,000",18,1.79,1.60,1.53,1.91,01/28,1.53,01/29,
084197 台積電元大07購45,"300,800","178,000",11,1.69,1.67,1.68,1.82,01/29,1.65,01/28,
084198 台積電元大07購46,"633,430","366,000",28,1.73,1.60,1.56,1.82,01/29,1.56,01/29,
084199 台積電元大07購47,"63,070","38,000",6,1.66,1.66,1.74,1.76,01/29,1.57,01/28,
084200 華邦電元大07購16,"29,800","20,000",2,1.49,1.49,1.49,1.49,01/29,1.49,01/29,
084201 華邦電元大07購17,"1,068,190","520,000",13,2.05,2.02,2.03,2.10,01/29,2.01,01/28,
084202 華邦電元大07購18,"39,700","20,000",2,1.98,1.98,1.99,1.99,01/29,1.98,01/28,
