出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
110/05/15,109,2,1470,大統新創,293869,239351,--,--,54518,--,--,54518,48388,903,7033,3131,10164,2135,8029,--,--,8029,-639,--,7390,8029,--,--,7390,--,--,0.09
110/05/15,109,2,1471,首利,412030,412125,--,--,-95,--,--,-95,91810,--,-91905,-7590,-99495,1384,-100879,--,--,-100879,863,--,-100016,-100872,--,-7,-100009,--,-7,-0.67
110/05/15,109,2,1472,三洋紡,120542,123930,--,--,-3388,--,--,-3388,95540,-7169,-106097,-101191,-207288,260,-207548,--,--,-207548,-16240,--,-223788,-207548,--,--,-223788,--,--,-4.51
110/05/15,109,2,1473,台南,3044453,2677671,--,--,366782,--,--,366782,484821,--,-118039,2604,-115435,-648,-114787,--,--,-114787,-31653,--,-146440,-116625,--,1838,-148236,--,1796,-0.8
110/05/15,109,2,1474,弘裕,1272050,1105649,--,--,166401,--,--,166401,155227,--,11174,478,11652,-7336,18988,--,--,18988,-10845,--,8143,22977,--,-3989,12132,--,-3989,0.18
110/05/15,109,2,1475,業旺,23133,19018,--,--,4115,--,--,4115,7260,--,-3145,-6226,-9371,14,-9385,210,--,-9175,5346,--,-3829,-9196,--,21,-3850,--,21,-0.58
110/05/15,109,2,1476,儒鴻,11475224,8432572,--,--,3042652,--,--,3042652,1225420,--,1817232,-11039,1806193,398393,1407800,-832,--,1406968,-52251,--,1354717,1406968,--,--,1354717,--,--,5.13
110/05/15,109,2,1477,聚陽,10856419,8617925,--,--,2238494,--,--,2238494,1198911,--,1039583,45679,1085262,298049,787213,--,--,787213,-47979,--,739234,780694,--,6519,733057,--,6177,3.55
110/05/15,109,2,1503,士電,12413027,9961229,--,--,2451798,--,--,2451798,1285406,--,1166392,114314,1280706,346597,934109,--,--,934109,-104669,--,829440,900231,--,33878,803521,--,25919,1.73
110/05/15,109,2,1504,東元,21900997,16251812,--,--,5649185,8256,8263,5649192,3686804,--,1962388,467957,2430345,299051,2131294,--,--,2131294,5477587,--,7608881,1925742,--,205552,7296273,--,312608,0.99
110/05/15,109,2,1506,正道,443917,449390,--,--,-5473,--,--,-5473,111585,--,-117058,-147365,-264423,2957,-267380,--,--,-267380,-26860,--,-294240,-215652,--,-51728,-237676,--,-56564,-1.57
110/05/15,109,2,1507,永大,6593001,4883623,--,--,1709378,--,--,1709378,1119509,--,589869,93899,683768,131615,552153,0,--,552153,-161738,--,390415,535776,--,16377,374038,--,16377,1.31
110/05/15,109,2,1512,瑞利,561334,532109,--,--,29225,--,--,29225,107666,--,-78441,-272,-78713,--,-78713,--,--,-78713,-10498,--,-89211,-78713,--,--,-89211,--,--,-0.34
110/05/15,109,2,1513,中興電,6382828,5036468,--,--,1346360,--,--,1346360,825612,--,520748,-64215,456533,76544,379989,--,--,379989,-53041,--,326948,368265,--,11724,320905,--,6043,0.9
110/05/15,109,2,1514,亞力,2482923,2009444,--,--,473479,610,0,472869,274497,--,198372,20007,218379,37425,180954,--,--,180954,-5254,--,175700,178938,--,2016,175044,--,656,0.87
110/05/15,109,2,1515,力山,3296930,2712268,--,--,584662,--,--,584662,296902,--,287760,-12270,275490,54690,220800,0,--,220800,-24178,--,196622,218759,--,2041,194647,--,1975,1.21
110/05/15,109,2,1516,川飛,439856,417488,--,--,22368,--,--,22368,5794,--,16574,21,16595,0,16595,0,--,16595,0,--,16595,--,--,--,--,--,--,0.5
110/05/15,109,2,1517,利奇,1259560,1116613,--,--,142947,--,--,142947,175565,--,-32618,383,-32235,6554,-38789,--,--,-38789,-10933,--,-49722,-36539,--,-2250,-47512,--,-2210,-0.16
110/05/15,109,2,1519,華城,3484687,2903406,--,--,581281,--,--,581281,434980,--,146301,2471,148772,18756,130016,0,--,130016,-50073,--,79943,130016,--,0,79943,--,0,0.5
110/05/15,109,2,1521,大億,2054425,1788841,--,--,265584,21,2540,268103,239297,--,28806,50478,79284,-2306,81590,--,--,81590,-8110,--,73480,81590,--,--,73480,0,--,1.07
110/05/15,109,2,1522,堤維西,6830924,5421834,--,--,1409090,30,31,1409091,1308875,--,100216,-15912,84304,35245,49059,--,--,49059,-108652,--,-59593,56045,--,-6986,-49591,--,-10002,0.18
110/05/15,109,2,1524,耿鼎,865919,736121,--,--,129798,--,--,129798,114733,0,15065,2007,17072,-2049,19121,--,--,19121,-2867,--,16254,19121,--,--,16254,--,--,0.11
110/05/15,109,2,1525,江申,458805,421232,--,--,37573,--,--,37573,40892,--,-3319,133154,129835,22617,107218,--,--,107218,-104730,--,2488,107218,--,--,2488,--,--,1.46
110/05/15,109,2,1526,日馳,513011,415044,--,--,97967,--,--,97967,63025,--,34942,92720,127662,25109,102553,0,--,102553,-5688,--,96865,102553,--,--,96865,--,--,1.71
110/05/15,109,2,1527,鑽全,1658404,1224114,--,--,434290,--,--,434290,179104,--,255186,-1619,253567,67967,185600,--,--,185600,--,--,185600,--,--,--,--,--,--,1.34
110/05/15,109,2,1528,恩德,1556935,1116357,--,--,440578,--,--,440578,483038,--,-42460,-33560,-76020,-9107,-66913,--,--,-66913,-27871,--,-94784,-69937,--,3024,-97967,--,3183,-0.36
110/05/15,109,2,1529,樂士,317507,278347,--,--,39160,--,--,39160,16589,-5350,17221,-6728,10493,-773,11266,--,--,11266,--,--,11266,11266,--,--,11266,--,--,0.12
